Direct?;From;To;Type;Member;FromMember
True;cs+class://CsInheritanceTest/Downcall/DerivedType;cs+class://CsInheritanceTest/Downcall/BaseType;MethodCall;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/Reuse/DirectDowncall
False;cs+class://CsInheritanceTest/Downcall/MoreDerivedType;cs+class://CsInheritanceTest/Downcall/DerivedType;MethodCall;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/Reuse/IndirectDowncall
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughFieldAssignment
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughFieldAccess
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughArrayValueAssignment
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughArrayValueAccess
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseSplitDeclarationAndAssignment
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughFieldAssignment
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughFieldAccess
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughArrayValueAssignment
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughArrayValueAccess
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/MoreNested/TestTwoAccessOccurrances
True;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;MethodCall;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/DirectExternalConcreteReuse
False;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;MethodCall;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/IndirectExternalConcreteReuse
True;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;MethodCall;AbstractDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/IndirectExternalAbstractReuse
