direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://CsInheritanceTest/Downcall/DerivedType;cs+class://CsInheritanceTest/Downcall/BaseType;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/DerivedType/TestDowncall
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseFieldS;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/(field initializer)
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;MethodS;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/(field initializer)
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingThis
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingSuper
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingNoQualifier
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingThis
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingSuper
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingNoQualifier
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingThis
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingSuper
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingNoQualifier
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType/IndirectInheritanceFieldAccess
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType/IndirectInheritanceFieldAssignment
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType/CallsConcreteMethodWithThisQualifier
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType/CallsConcreteMethodWithSuperQualifier
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType/CallsConcreteMethodWithoutQualifier
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;AbstractDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType/AbstractInternalReuseThroughIndirectInheritanceUsingThisKeyword
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;AbstractDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType/AbstractInternalReuseThroughIndirectInheritanceUsingNoQualifier
False;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType/ConcreteInternalReuseThroughIndirectInheritanceUsingThisKeyword
False;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType/ConcreteInternalReuseThroughIndirectInheritanceUsingNoQualifier
False;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType/InternalReuseThroughSuper
True;MethodCall;cs+class://CsInheritanceTest/Subtype/ThisChangingTypeDerived;cs+class://CsInheritanceTest/Subtype/ThisChangingTypeBase;useA;cs+class://CsInheritanceTest/Subtype/ThisChangingTypeDerived/InternalReuse
