Direct?;From;To;Type;Member;FromMember
True;cs+class://CsInheritanceTest/Downcall/DerivedType;cs+class://CsInheritanceTest/Downcall/BaseType;MethodCall;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/DerivedType/TestDowncall
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseFieldS;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/(field initializer)
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;MethodCall;MethodS;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/(field initializer)
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingThis
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingSuper
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAssignmentUsingNoQualifier
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingThis
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingSuper
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughFieldAccessUsingNoQualifier
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingThis
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingSuper
True;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;FieldAccess;array;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType/InternalReuseThroughArrayAssignmentUsingNoQualifier
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType/IndirectInheritanceFieldAccess
False;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;FieldAccess;publicBaseField;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType/IndirectInheritanceFieldAssignment
True;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;MethodCall;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType/CallsConcreteMethodWithThisQualifier
True;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;MethodCall;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType/CallsConcreteMethodWithSuperQualifier
