direct?;source;from;to;from declaration
True;Cast;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestSubtypeCast in CsInheritanceTest.Subtype.TestSubtypeCast
True;Cast;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestDirectInheritance in CsInheritanceTest.Subtype.TestSubtypeCast
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;SubtypeThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;SubtypeThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;SubtypeTwoThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;VariableInitializer;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;SubtypeThroughReturnedValueOfGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;Test123 in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestSubtypeFromConstructorAndParameter in CsInheritanceTest.Subtype.TestParameter
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestSubtypeFromConstructorAndParameter in CsInheritanceTest.Subtype.TestParameter
True;Return;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;DirectSubtypeFromReturn in CsInheritanceTest.Subtype.TestSubtypeReturn
True;VariableInitializer;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestDeclarationInAssignment in CsInheritanceTest.Subtype.TestAssignment
True;Assignment;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;TestAssignment2 in CsInheritanceTest.Subtype.TestAssignment
False;Cast;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestIndirectInheritance in CsInheritanceTest.Subtype.TestSubtypeCast
False;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;IndirectSubtypeThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
False;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;IndirectSubtypeThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;SubtypeTwoThroughGenericMethodCall in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestInternal in CsInheritanceTest.Subtype.GenericTest
True;Parameter;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestSubtypeFromConstructorAndParameter in CsInheritanceTest.Subtype.TestParameter
False;Return;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;IndirectSubtypeFromReturn in CsInheritanceTest.Subtype.TestSubtypeReturn
False;VariableInitializer;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestDeclarationInAssignment in CsInheritanceTest.Subtype.TestAssignment
False;Assignment;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;TestAssignment2 in CsInheritanceTest.Subtype.TestAssignment
True;Cast;cs+class://CsInheritanceTest/Subtype/ParametrizedDerivedType[1];cs+class://CsInheritanceTest/Subtype/ParametrizedBaseType[1];TestDirectParametrized in CsInheritanceTest.Subtype.TestSubtypeCast
True;Return;cs+class://CsInheritanceTest/Subtype/ParametrizedDerivedType[1];cs+class://CsInheritanceTest/Subtype/ParametrizedBaseType[1];DirectParametrizedSubtypeFromReturn in CsInheritanceTest.Subtype.TestSubtypeReturn
