direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://System/Data/Entity/Core/Mapping/FunctionImportResultMapping;cs+class://System/Data/Entity/Core/Mapping/MappingItem;ThrowIfReadOnly;cs+class://System/Data/Entity/Core/Mapping/FunctionImportResultMapping/AddTypeMapping
True;MethodCall;cs+class://System/Data/Entity/Core/Mapping/FunctionImportResultMapping;cs+class://System/Data/Entity/Core/Mapping/MappingItem;ThrowIfReadOnly;cs+class://System/Data/Entity/Core/Mapping/FunctionImportResultMapping/RemoveTypeMapping
True;MethodCall;cs+class://System/Data/Entity/Core/Mapping/IsNullConditionMapping;cs+class://System/Data/Entity/Core/Mapping/ConditionPropertyMapping;IsNull;cs+class://System/Data/Entity/Core/Mapping/IsNullConditionMapping/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Mapping/ValueConditionMapping;cs+class://System/Data/Entity/Core/Mapping/ConditionPropertyMapping;Value;cs+class://System/Data/Entity/Core/Mapping/ValueConditionMapping/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;AddRule;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/(field initializer)
