direct?;source;from;to;from declaration;to declaration
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;SuppressExit;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;EnableInitialPluginLoad;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;LoadEstateDataService;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;NetServersInfo;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;ApplicationRegistry;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
True;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_plugins;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;Startup;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;CreateRegion;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;Shutdown;cs+class://OpenSim/Region/Framework/Scenes/Tests/SharedRegionModuleTests/TestLifecycle
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;Startup;cs+class://OpenSim/Application/Main
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;Startup;cs+class://OpenSim/Application/Main
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;osSecret;cs+class://OpenSim/OpenSimBase/XSimStatusHandler/(field initializer)
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;StatReport;cs+class://OpenSim/OpenSimBase/XSimStatusHandler/ProcessRequest
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;StatReport;cs+class://OpenSim/OpenSimBase/UXSimStatusHandler/ProcessRequest
True;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;EstateDataService;cs+class://OpenSim/ApplicationPlugins/LoadRegions/LoadRegionsPlugin/PostInitialise
True;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;SceneManager;cs+class://OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin/XmlRpcAlertMethod
True;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;SceneManager;cs+class://OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin/XmlRpcShutdownMethod
False;MethodCall;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;Shutdown;cs+class://OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin/shutdownTimer_Elapsed
