direct?;source;from;to;from declaration
True;Parameter;cs+class://OpenSim/ApplicationPluginInitialiser;cs+class://OpenSim/Framework/PluginInitialiserBase;LoadPlugins in OpenSim.OpenSimBase
True;Parameter;cs+class://OpenSim/ApplicationPluginInitialiser;cs+class://OpenSim/Framework/PluginInitialiserBase;LoadPlugins in OpenSim.OpenSimBase
True;Assignment;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;Main in OpenSim.Application
True;Parameter;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;StartupSpecific in OpenSim.OpenSim
True;Parameter;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;StartupSpecific in OpenSim.OpenSim
True;ThisChangingType;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;LoadPlugins in OpenSim.OpenSimBase
True;ThisChangingType;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;LoadPlugins in OpenSim.OpenSimBase
True;Parameter;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;TestLifecycle in OpenSim.Region.Framework.Scenes.Tests.SharedRegionModuleTests
False;Assignment;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;Main in OpenSim.Application
True;ThisChangingType;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;StartupSpecific in OpenSim.OpenSim
True;ThisChangingType;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;StartupSpecific in OpenSim.OpenSim
False;ThisChangingType;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;LoadPlugins in OpenSim.OpenSimBase
False;ThisChangingType;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;LoadPlugins in OpenSim.OpenSimBase
False;Parameter;cs+class://OpenSim/OpenSimBase/SimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;StartupSpecific in OpenSim.OpenSim
False;Parameter;cs+class://OpenSim/OpenSimBase/XSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;StartupSpecific in OpenSim.OpenSim
False;Parameter;cs+class://OpenSim/OpenSimBase/UXSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;StartupSpecific in OpenSim.OpenSim
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;StartGroupChatSession in OpenSim.Groups.GroupsMessagingModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;AddAgentToSession in OpenSim.Groups.GroupsMessagingModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;OnInstantMessage in OpenSim.Groups.GroupsMessagingModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;HandleUUIDGroupNameRequest in OpenSim.Groups.GroupsModule
True;Return;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;GetGroupRecord in OpenSim.Groups.GroupsModule
True;Return;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;GetGroupRecord in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;EjectGroupMember in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;InviteGroup in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;OnAgentDataUpdateRequest in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GroupTitlesRequest in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GroupProfileRequest in OpenSim.Groups.GroupsModule
True;Return;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GetMembershipData in OpenSim.Groups.GroupsModule
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GetGroupTitle in OpenSim.Groups.GroupsModule
True;Return;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;AddAgentToGroup in OpenSim.Groups.GroupsServiceRemoteConnector
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GetMemberships in OpenSim.Groups.GroupsServiceRemoteConnector
True;Return;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;SetAgentActiveGroup in OpenSim.Groups.GroupsServiceRemoteConnector
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;HandleAddAgentToGroup in OpenSim.Groups.GroupsServicePostHandler
True;VariableInitializer;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;GetAgentGroupMemberships in OpenSim.Groups.GroupsService
False;Parameter;cs+class://OpenSim/Groups/GroupsMessagingModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;AddRegion in OpenSim.Groups.GroupsMessagingModule
True;Parameter;cs+class://OpenSim/Groups/GroupsMessagingModule;cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsMessagingModule;AddRegion in OpenSim.Groups.GroupsMessagingModule
True;Parameter;cs+class://OpenSim/Groups/GroupsMessagingModule;cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsMessagingModule;RemoveRegion in OpenSim.Groups.GroupsMessagingModule
False;Parameter;cs+class://OpenSim/Groups/GroupsModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;AddRegion in OpenSim.Groups.GroupsModule
True;Parameter;cs+class://OpenSim/Groups/GroupsModule;cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsModule;AddRegion in OpenSim.Groups.GroupsModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceHGConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;AddRegion in OpenSim.Groups.GroupsServiceHGConnectorModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceHGConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;RemoveRegion in OpenSim.Groups.GroupsServiceHGConnectorModule
False;Parameter;cs+class://OpenSim/Groups/HGGroupsServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;HGGroupsServiceRobustConnector in OpenSim.Groups.HGGroupsServiceRobustConnector
True;Assignment;cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;RegionLoaded in OpenSim.Groups.GroupsServiceHGConnectorModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;AddRegion in OpenSim.Groups.GroupsServiceLocalConnectorModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;RemoveRegion in OpenSim.Groups.GroupsServiceLocalConnectorModule
True;Assignment;cs+class://OpenSim/Groups/GroupsServiceRemoteConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;RegionLoaded in OpenSim.Groups.GroupsServiceHGConnectorModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceRemoteConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;AddRegion in OpenSim.Groups.GroupsServiceRemoteConnectorModule
True;Parameter;cs+class://OpenSim/Groups/GroupsServiceRemoteConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;RemoveRegion in OpenSim.Groups.GroupsServiceRemoteConnectorModule
False;Parameter;cs+class://OpenSim/Groups/GroupsServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;GroupsServiceRobustConnector in OpenSim.Groups.GroupsServiceRobustConnector
True;Parameter;cs+class://OpenSim/OfflineIM/OfflineIMRegionModule;cs+interface://OpenSim/Services/Interfaces/IOfflineIMService;AddRegion in OpenSim.OfflineIM.OfflineIMRegionModule
True;Assignment;cs+class://OpenSim/OfflineIM/OfflineIMServiceRemoteConnector;cs+interface://OpenSim/Services/Interfaces/IOfflineIMService;Initialise in OpenSim.OfflineIM.OfflineIMRegionModule
False;Parameter;cs+class://OpenSim/OfflineIM/OfflineIMServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;OfflineIMServiceRobustConnector in OpenSim.OfflineIM.OfflineIMServiceRobustConnector
True;Assignment;cs+class://OpenSim/OfflineIM/OfflineIMService;cs+interface://OpenSim/Services/Interfaces/IOfflineIMService;Initialise in OpenSim.OfflineIM.OfflineIMRegionModule
True;Assignment;cs+class://OpenSim/OfflineIM/OfflineIMService;cs+interface://OpenSim/Services/Interfaces/IOfflineIMService;OfflineIMServiceRobustConnector in OpenSim.OfflineIM.OfflineIMServiceRobustConnector
True;Parameter;cs+class://OpenSim/ApplicationPlugins/LoadRegions/LoadRegionsPlugin;cs+interface://OpenSim/Framework/IRegionCreator;Initialise in OpenSim.ApplicationPlugins.LoadRegions.LoadRegionsPlugin
True;Parameter;cs+class://OpenSim/ApplicationPlugins/RegionModulesController/RegionModulesControllerPlugin;cs+interface://OpenSim/Region/Framework/Interfaces/IRegionModulesController;Initialise in OpenSim.ApplicationPlugins.RegionModulesController.RegionModulesControllerPlugin
False;Parameter;cs+class://OpenSim/Framework/Capabilities/LLSDStreamhandler[2];cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;RegisterCaps in OpenSim.Region.ClientStack.Linden.NewFileAgentInventoryVariablePriceModule
False;Parameter;cs+class://OpenSim/Framework/Capabilities/LLSDStreamhandler[2];cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;RegisterInventoryServiceHandlers in OpenSim.Region.ClientStack.Linden.BunchOfCaps
False;Parameter;cs+class://OpenSim/Capabilities/Handlers/AvatarPickerSearchHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;RegisterCaps in OpenSim.Region.ClientStack.Linden.AvatarPickerSearchModule
False;Parameter;cs+class://OpenSim/Capabilities/Handlers/GetTextureHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;GetTextureServerConnector in OpenSim.Capabilities.Handlers.GetTextureServerConnector
False;Parameter;cs+class://OpenSim/Capabilities/Handlers/GetTextureHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;RegisterCaps in OpenSim.Region.ClientStack.Linden.GetTextureModule
True;VariableInitializer;cs+class://OpenSim/Data/Null/NullXGroupData;cs+interface://OpenSim/Data/IXGroupData;(field initializer) in OpenSim.Tests.Common.Mock.MockGroupsServicesConnector
True;Cast;cs+class://OpenSim/Framework/AgentPosition;cs+interface://OpenSim/Framework/IAgentData;UpdateAgent in OpenSim.Services.Connectors.Simulation.SimulationServiceConnector
True;Cast;cs+class://OpenSim/Framework/AgentData;cs+interface://OpenSim/Framework/IAgentData;UpdateAgent in OpenSim.Services.Connectors.Simulation.SimulationServiceConnector
False;Assignment;cs+class://OpenSim/Framework/CompleteAgentData;cs+class://OpenSim/Framework/AgentData;CopyAgent in OpenSim.Region.Framework.Scenes.ScenePresence
True;Parameter;cs+class://OpenSim/Framework/CnmMemoryCache[2];cs+interface://OpenSim/Framework/ICnmCache[2];Initialize in OpenSim.Region.CoreModules.Asset.CenomeMemoryAssetCache
True;Assignment;cs+class://OpenSim/Framework/CnmMemoryCache/HashGeneration;cs+interface://OpenSim/Framework/CnmMemoryCache/IGeneration[2];Initialize in OpenSim.Framework.CnmMemoryCache
True;Assignment;cs+class://OpenSim/Framework/CnmMemoryCache/HashGeneration;cs+interface://OpenSim/Framework/CnmMemoryCache/IGeneration[2];Initialize in OpenSim.Framework.CnmMemoryCache
True;Parameter;cs+class://OpenSim/Framework/EntityUpdate;cs+class://OpenSim/Framework/IEntityUpdate;SendEntityUpdate in OpenSim.Region.ClientStack.LindenUDP.LLClientView
True;Parameter;cs+class://OpenSim/Framework/EntityUpdate;cs+class://OpenSim/Framework/IEntityUpdate;ResendPrimUpdate in OpenSim.Region.ClientStack.LindenUDP.LLClientView
True;Parameter;cs+class://OpenSim/Framework/InventoryFolderBase;cs+class://OpenSim/Framework/InventoryNodeBase;OnInstantMessage in OpenSim.Region.CoreModules.Avatar.Inventory.Transfer.InventoryTransferModule
True;Assignment;cs+class://OpenSim/Framework/InventoryFolderBase;cs+class://OpenSim/Framework/InventoryNodeBase;OnGridInstantMessage in OpenSim.Region.CoreModules.Avatar.Inventory.Transfer.InventoryTransferModule
True;Return;cs+class://OpenSim/Framework/InventoryFolderImpl;cs+class://OpenSim/Framework/InventoryFolderBase;GetRootFolder in OpenSim.Region.CoreModules.Framework.Library.LocalInventoryService
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;CopyInventoryFromNotecard in OpenSim.Region.ClientStack.Linden.BunchOfCaps
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;CreateCallingCard in OpenSim.Region.CoreModules.Avatar.Friends.CallingCardModule
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;OnInstantMessage in OpenSim.Region.CoreModules.Avatar.Inventory.Transfer.InventoryTransferModule
True;Assignment;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;OnGridInstantMessage in OpenSim.Region.CoreModules.Avatar.Inventory.Transfer.InventoryTransferModule
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;DoPreRezWhenFromItem in OpenSim.Region.CoreModules.Framework.InventoryAccess.BasicInventoryAccessModule
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;UpdateInventoryItemAsset in OpenSim.Region.Framework.Scenes.Scene
True;Parameter;cs+class://OpenSim/Framework/InventoryItemBase;cs+class://OpenSim/Framework/InventoryNodeBase;GiveInventoryItem in OpenSim.Region.Framework.Scenes.Scene
True;Assignment;cs+class://OpenSim/Framework/MinHeap/Handle;cs+interface://OpenSim/Framework/IHandle;Add in OpenSim.Framework.MinHeap
True;VariableInitializer;cs+class://OpenSim/Framework/RegistryCore;cs+interface://OpenSim/Framework/IRegistryCore;(field initializer) in OpenSim.OpenSimBase
True;Parameter;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;StoreTerrain in OpenSim.Data.MSSQL.MSSQLSimulationData
True;Parameter;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;StoreTerrain in OpenSim.Data.MySQL.MySQLSimulationData
True;VariableInitializer;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;StoreTerrain in OpenSim.Data.Null.NullSimulationData
True;Parameter;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;StoreTerrain in OpenSim.Data.PGSQL.PGSQLSimulationData
True;Parameter;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;StoreTerrain in OpenSim.Data.SQLite.SQLiteSimulationData
True;Return;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;CreateFromDatabaseBlobFactory in OpenSim.Framework.TerrainData
True;Return;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;Clone in OpenSim.Framework.HeightmapTerrainData
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;TerrainChannel in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;TerrainChannel in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;TerrainChannel in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;TerrainChannel in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;FromXml in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/HeightmapTerrainData;cs+class://OpenSim/Framework/TerrainData;FromXml2 in OpenSim.Region.Framework.Scenes.TerrainChannel
True;Assignment;cs+class://OpenSim/Framework/ServiceAuth/BasicHttpAuthentication;cs+interface://OpenSim/Framework/ServiceAuth/IServiceAuth;GroupsServiceRemoteConnector in OpenSim.Groups.GroupsServiceRemoteConnector
True;Assignment;cs+class://OpenSim/Framework/ServiceAuth/BasicHttpAuthentication;cs+interface://OpenSim/Framework/ServiceAuth/IServiceAuth;OfflineIMServiceRemoteConnector in OpenSim.OfflineIM.OfflineIMServiceRemoteConnector
True;Return;cs+class://OpenSim/Framework/ServiceAuth/BasicHttpAuthentication;cs+interface://OpenSim/Framework/ServiceAuth/IServiceAuth;Create in OpenSim.Framework.ServiceAuth.ServiceAuth
True;Assignment;cs+class://OpenSim/Framework/ServiceAuth/BasicHttpAuthentication;cs+interface://OpenSim/Framework/ServiceAuth/IServiceAuth;Initialise in OpenSim.Services.Connectors.BaseServiceConnector
True;Assignment;cs+class://OpenSim/Framework/Console/Commands;cs+interface://OpenSim/Framework/ICommands;CommandConsole in OpenSim.Framework.Console.CommandConsole
True;Assignment;cs+class://OpenSim/Framework/Console/CommandConsole;cs+class://OpenSim/Framework/Console/ConsoleBase;BotManager in pCampBot.BotManager
True;Assignment;cs+class://OpenSim/Framework/Console/CommandConsole;cs+interface://OpenSim/Framework/ICommandConsole;StartupSpecific in OpenSim.OpenSim
True;Assignment;cs+class://OpenSim/Framework/Console/CommandConsole;cs+interface://OpenSim/Framework/ICommandConsole;StartupSpecific in OpenSim.OpenSim
True;Assignment;cs+class://OpenSim/Framework/Console/CommandConsole;cs+interface://OpenSim/Framework/ICommandConsole;ServicesServerBase in OpenSim.Server.Base.ServicesServerBase
True;Assignment;cs+class://OpenSim/Framework/Console/CommandConsole;cs+interface://OpenSim/Framework/ICommandConsole;BotManager in pCampBot.BotManager
False;Assignment;cs+class://OpenSim/Framework/Console/LocalConsole;cs+class://OpenSim/Framework/Console/CommandConsole;StartupSpecific in OpenSim.OpenSim
False;Assignment;cs+class://OpenSim/Framework/Console/LocalConsole;cs+class://OpenSim/Framework/Console/CommandConsole;ServicesServerBase in OpenSim.Server.Base.ServicesServerBase
True;Return;cs+class://OpenSim/Framework/Console/LocalConsole;cs+class://OpenSim/Framework/Console/CommandConsole;CreateConsole in pCampBot.BotManager
True;Assignment;cs+class://OpenSim/Framework/Console/MockConsole;cs+interface://OpenSim/Framework/ICommandConsole;SetupScene in OpenSim.Tests.Common.SceneHelpers
False;Assignment;cs+class://OpenSim/Framework/Console/RemoteConsole;cs+class://OpenSim/Framework/Console/CommandConsole;StartupSpecific in OpenSim.OpenSim
False;Assignment;cs+class://OpenSim/Framework/Console/RemoteConsole;cs+class://OpenSim/Framework/Console/CommandConsole;ServicesServerBase in OpenSim.Server.Base.ServicesServerBase
True;Parameter;cs+class://OpenSim/Framework/Monitoring/PercentageStat;cs+class://OpenSim/Framework/Monitoring/Stat;AddScene in OpenSim.Region.ClientStack.LindenUDP.LLUDPServer
True;Parameter;cs+class://OpenSim/Framework/Monitoring/PercentageStat;cs+class://OpenSim/Framework/Monitoring/Stat;AddScene in OpenSim.Region.ClientStack.LindenUDP.LLUDPServer
True;Assignment;cs+class://OpenSim/Framework/RegionLoader/Filesystem/RegionLoaderFileSystem;cs+interface://OpenSim/Framework/IRegionLoader;PostInitialise in OpenSim.ApplicationPlugins.LoadRegions.LoadRegionsPlugin
True;Assignment;cs+class://OpenSim/Framework/RegionLoader/Web/RegionLoaderWebServer;cs+interface://OpenSim/Framework/IRegionLoader;PostInitialise in OpenSim.ApplicationPlugins.LoadRegions.LoadRegionsPlugin
