TypeName;SystemType
cs+class://OpenSim/Application;True
cs+class://OpenSim/ConfigurationLoader;True
cs+interface://OpenSim/IApplicationPlugin;True
cs+interface://OpenSim/Framework/IPlugin;True
cs+class://OpenSim/ApplicationPluginInitialiser;True
cs+class://OpenSim/Framework/PluginInitialiserBase;True
cs+class://OpenSim/OpenSim;True
cs+class://OpenSim/OpenSimBase;True
cs+class://OpenSim/OpenSimBackground;True
cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;True
cs+class://OpenSim/OpenSimBase/SimStatusHandler;True
cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;True
cs+class://OpenSim/OpenSimBase/XSimStatusHandler;True
cs+class://OpenSim/OpenSimBase/UXSimStatusHandler;True
cs+class://OpenSim/OpenSimConfigSource;True
cs+class://OpenSim/Groups/ForeignImporter;True
cs+class://OpenSim/Groups/ExtendedGroupRecord;True
cs+class://OpenSim/Framework/GroupRecord;True
cs+class://OpenSim/Groups/ExtendedGroupMembershipData;True
cs+class://OpenSim/Framework/GroupMembershipData;True
cs+class://OpenSim/Groups/ExtendedGroupMembersData;True
cs+class://OpenSim/Groups/ExtendedGroupRoleMembersData;True
cs+class://OpenSim/Groups/ExtendedGroupNoticeData;True
cs+class://OpenSim/Groups/GroupsDataUtils;True
cs+class://OpenSim/Groups/GroupsMessagingModule;True
cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;True
cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsMessagingModule;True
cs+class://OpenSim/Groups/GroupsModule;True
cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsModule;True
cs+interface://OpenSim/Groups/IGroupsServicesConnector;True
cs+class://OpenSim/Groups/GroupInviteInfo;True
cs+class://OpenSim/Groups/GroupNoticeInfo;True
cs+class://OpenSim/Groups/RemoteConnectorCacheWrapper;True
cs+class://OpenSim/Groups/GroupsServiceHGConnector;True
cs+class://OpenSim/Groups/GroupsServiceHGConnectorModule;True
cs+class://OpenSim/Groups/HGGroupsServiceRobustConnector;True
cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;True
cs+class://OpenSim/Groups/HGGroupsServicePostHandler;True
cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;True
cs+class://OpenSim/Groups/GroupsServiceRemoteConnector;True
cs+class://OpenSim/Groups/GroupsServiceRemoteConnectorModule;True
cs+class://OpenSim/Groups/GroupsServiceRobustConnector;True
cs+class://OpenSim/Groups/GroupsServicePostHandler;True
cs+class://OpenSim/Groups/GroupsService;True
cs+class://OpenSim/Groups/GroupsServiceBase;True
cs+class://OpenSim/Services/Base/ServiceBase;True
cs+class://OpenSim/Groups/HGGroupsService;True
cs+class://OpenSim/OfflineIM/OfflineIMRegionModule;True
cs+interface://OpenSim/Services/Interfaces/IOfflineIMService;True
cs+class://OpenSim/OfflineIM/OfflineIMServiceRemoteConnector;True
cs+class://OpenSim/OfflineIM/OfflineIMServiceRobustConnector;True
cs+class://OpenSim/OfflineIM/OfflineIMServicePostHandler;True
cs+class://OpenSim/OfflineIM/OfflineIMService;True
cs+class://OpenSim/OfflineIM/OfflineIMServiceBase;True
cs+class://OpenSim/ApplicationPlugins/LoadRegions/LoadRegionsPlugin;True
cs+interface://OpenSim/Framework/IRegionCreator;True
cs+class://OpenSim/ApplicationPlugins/RegionModulesController/RegionModulesControllerPlugin;True
cs+interface://OpenSim/Region/Framework/Interfaces/IRegionModulesController;True
cs+class://OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin;True
cs+class://OpenSim/Framework/Capabilities/Caps;True
cs+class://OpenSim/Framework/Capabilities/CapsHandlers;True
cs+class://OpenSim/Framework/Capabilities/LLSD;True
cs+class://OpenSim/Framework/Capabilities/LLSD/LLSDParseException;True
cs+class://OpenSim/Framework/Capabilities/LLSD/LLSDSerializeException;True
cs+class://OpenSim/Framework/Capabilities/OSDArray;True
cs+class://OpenSim/Framework/Capabilities/LLSDAssetUploadComplete;True
cs+class://OpenSim/Framework/Capabilities/LLSDAssetUploadRequest;True
cs+class://OpenSim/Framework/Capabilities/LLSDAssetUploadResponse;True
cs+class://OpenSim/Framework/Capabilities/LLSDNewFileAngentInventoryVariablePriceReplyResponse;True
cs+class://OpenSim/Framework/Capabilities/LLSDAvatarPicker;True
cs+class://OpenSim/Framework/Capabilities/LLSDPerson;True
cs+class://OpenSim/Framework/Capabilities/LLSDCapEvent;True
cs+class://OpenSim/Framework/Capabilities/LLSDEmpty;True
cs+class://OpenSim/Framework/Capabilities/LLSDEnvironmentRequest;True
cs+class://OpenSim/Framework/Capabilities/LLSDEnvironmentSetResponse;True
cs+class://OpenSim/Framework/Capabilities/EnvironmentSettings;True
cs+class://OpenSim/Framework/Capabilities/LLSDHelpers;True
cs+class://OpenSim/Framework/Capabilities/LLSDInventoryFolder;True
cs+class://OpenSim/Framework/Capabilities/LLSDInventoryItem;True
cs+class://OpenSim/Framework/Capabilities/LLSDPermissions;True
cs+class://OpenSim/Framework/Capabilities/LLSDSaleInfo;True
cs+class://OpenSim/Framework/Capabilities/LLSDInventoryDescendents;True
cs+class://OpenSim/Framework/Capabilities/LLSDFetchInventoryDescendents;True
cs+class://OpenSim/Framework/Capabilities/LLSDInventoryFolderContents;True
cs+class://OpenSim/Framework/Capabilities/LLSDFetchInventory;True
cs+class://OpenSim/Framework/Capabilities/LLSDItemUpdate;True
cs+class://OpenSim/Framework/Capabilities/OSDMapLayer;True
cs+class://OpenSim/Framework/Capabilities/LLSDMapLayerResponse;True
cs+class://OpenSim/Framework/Capabilities/LLSDMapRequest;True
cs+class://OpenSim/Framework/Capabilities/LLSDParcelVoiceInfoResponse;True
cs+class://OpenSim/Framework/Capabilities/LLSDRemoteParcelResponse;True
cs+class://OpenSim/Framework/Capabilities/LLSDStreamhandler[2];True
cs+class://OpenSim/Framework/Capabilities/LLSDTaskInventoryUploadComplete;True
cs+class://OpenSim/Framework/Capabilities/LLSDTaskScriptUpdate;True
cs+class://OpenSim/Framework/Capabilities/LLSDTaskScriptUploadComplete;True
cs+class://OpenSim/Framework/Capabilities/LLSDTest;True
cs+class://OpenSim/Framework/Capabilities/LLSDType;True
cs+class://OpenSim/Framework/Capabilities/OSDMap;True
cs+class://OpenSim/Framework/Capabilities/LLSDVoiceAccountResponse;True
cs+class://OpenSim/Capabilities/Handlers/AvatarPickerSearchHandler;True
cs+class://OpenSim/Capabilities/Handlers/FetchInventory2Handler;True
cs+class://OpenSim/Capabilities/Handlers/FetchInventory2ServerConnector;True
cs+class://OpenSim/Capabilities/Handlers/GetMeshHandler;True
cs+class://OpenSim/Capabilities/Handlers/GetMeshServerConnector;True
cs+class://OpenSim/Capabilities/Handlers/GetTextureHandler;True
cs+class://OpenSim/Capabilities/Handlers/GetTextureServerConnector;True
cs+class://OpenSim/Capabilities/Handlers/UploadBakedTextureHandler;True
cs+class://OpenSim/Capabilities/Handlers/BakedTextureUploader;True
cs+class://OpenSim/Capabilities/Handlers/UploadBakedTextureServerConnector;True
cs+class://OpenSim/Capabilities/Handlers/WebFetchInvDescHandler;True
