fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Qnh/Sbs/PricingTool/Common/Behaviors/WindowDialogActivationBehavior;cs+class://Qnh/Sbs/PricingTool/Common/Behaviors/DialogActivationBehavior;IWindow CreateWindow();IWindow CreateWindow();PrepareContentDialog
cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationBase CreateInstance();SimulationBase CreateInstance();Clone
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Void OnPropertyChanged(String);Void OnPropertyChanged(String);Set
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Void OnPropertyChanged(String);Void OnPropertyChanged(String);OnPropertyChanged
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;String ValidateProperty(String);String ValidateProperty(String);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/CostImportType;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ImportType;IQueryable GetEntitySet(IImportContext);IQueryable GetEntitySet(IImportContext);GetInvalidItemCount
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ItemMasterType;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ImportType;IQueryable GetEntitySet(IImportContext);IQueryable GetEntitySet(IImportContext);GetInvalidItemCount
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/SalesHistoryType;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ImportType;IQueryable GetEntitySet(IImportContext);IQueryable GetEntitySet(IImportContext);GetInvalidItemCount
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/SellingPriceType;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ImportType;IQueryable GetEntitySet(IImportContext);IQueryable GetEntitySet(IImportContext);GetInvalidItemCount
cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ShapeCoefficientType;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Types/ImportType;IQueryable GetEntitySet(IImportContext);IQueryable GetEntitySet(IImportContext);GetInvalidItemCount
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/AnodizingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CoatingType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/MachiningType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CostType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/MetalType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CostType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/OtherType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CostType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/PaintingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CoatingType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/PolishingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/TreatmentType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/ThermalBreakType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/CostType;Int32 GetTypeCode();Int32 GetTypeCode();GetHashCode
cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;SimulationBase CreateInstance();SimulationBase CreateInstance();Clone
cs+class://Qnh/Sbs/PricingTool/Common/Model/SellingPriceSimulation/SellingPriceSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationBase CreateInstance();SimulationBase CreateInstance();Clone
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Profile;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Item;Double GetLength();Double GetLength();(field initializer)
cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Profile;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Item;Double GetWeight();Double GetWeight();(field initializer)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];Void DeleteFromContext(UnknownType);Void DeleteFromContext(UnknownType);SaveChanges
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];UnknownType CreateModel();UnknownType CreateModel();Add
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];IEnumerable GetItemsFromDb(IDbContext);IEnumerable GetItemsFromDb(IDbContext);LoadItems
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];UnknownType CreateModel();UnknownType CreateModel();Add
