direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Properties/Settings;cs+class://System/Configuration/ApplicationSettingsBase;Save;cs+class://Qnh/Sbs/PricingTool/Shell/Slider_OnValueChanged
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Properties/Settings;cs+class://System/Configuration/ApplicationSettingsBase;Save;cs+class://Qnh/Sbs/PricingTool/Shell/Slider_OnValueChanged
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;ColumnDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/ResetItems
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;RowDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/ResetItems
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;RowDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/AddRow
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;ColumnDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/AddColumn
True;MethodCall;cs+class://RadWrapper/RadMessageBox;cs+class://Telerik/Windows/Controls/RadWindow;DialogResult;cs+class://Qnh/Sbs/PricingTool/Common/View/ConfirmationMessageService/Confirm
True;MethodCall;cs+class://RadWrapper/RadMessageBox;cs+class://Telerik/Windows/Controls/RadWindow;DialogResult;cs+class://Qnh/Sbs/PricingTool/Common/View/ConfirmationMessageService/ConfirmYesNo
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CurrentMarketViewModel/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/OnChangesSaved
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/ConnectivityExceptionEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Shell/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/ConnectivityExceptionEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetActiveMarket
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/ConnectivityExceptionEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Shell/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/CreateSimulationCompleted;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/NewItemSpecificSimulationViewModel[1]/factory_PropertyChanged
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/CreateSimulationCompleted;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/NewPriceAnalysisViewModel/factory_PropertyChanged
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/CreateSimulationCompleted;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationListViewModel/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/ColourClassChangedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ColourCoefficientsViewModel/OnChangesSaved
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/ColourClassChangedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/ColourPicker/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/RequestSelectColourClassByIdEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ColourCoefficientsViewModel/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Events/RequestSelectColourClassByIdEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SellingPrice/SellingPriceSimulationViewModel/SelectColourClass
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;Simulation;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ManualBaseMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;MarketId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/CoefficientCollection;cs+class://System/Collections/ObjectModel/ObservableCollection[1];Add;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/CoefficientCollection;cs+class://System/Collections/ObjectModel/ObservableCollection[1];Add;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationMarketCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/LoadItems
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;Value;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;Value;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;ValueMin;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;ValueMax;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostOverride/CostOverrideViewModel/LoadOriginalCosts
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/CreateNewVersion
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Duplicate
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;DateModified;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Save
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/LoadItems
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/InvalidateSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;SimulationId;cs+class://Qnh/Sbs/PricingTool/Common/Model/Export/Fields/SimulationId/GetData
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/GetItemNumberList
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;Simulation;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;Simulation;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;Simulation;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MarketId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Cost;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/CostParser/CountErrors
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ItemMaster;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/ItemMasterParser/CountErrors
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/SalesHistory;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/SalesHistoryParser/CountErrors
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/SellingPrice;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/SellingPriceParser/CountErrors
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/ShapeCoefficientParser/CountErrors
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/CreateFromDb
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/CreateFromDb
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/OpenExistingSimulation
False;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;DateModified;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/SaveExisting
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/SimulationFactory/PriceAnalysisFactory/ConstructSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;CreatedBy;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/SimulationFactory/PriceAnalysisFactory/ConstructSimulation
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel/LoadData
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel/SetSimulationImpl
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/HistoricalData/SalesHistory;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/MasterData/PastAverageMargin/GetMargins
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/ChangeMarket
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/ChangeMarket
