Direct?;From;To;Type;Member;FromMember
True;cs+class://Qnh/Sbs/PricingTool/Properties/Settings;cs+class://System/Configuration/ApplicationSettingsBase;MethodCall;Save;cs+class://Qnh/Sbs/PricingTool/Shell/Slider_OnValueChanged
True;cs+class://Qnh/Sbs/PricingTool/Properties/Settings;cs+class://System/Configuration/ApplicationSettingsBase;MethodCall;Save;cs+class://Qnh/Sbs/PricingTool/Shell/Slider_OnValueChanged
True;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;MethodCall;ColumnDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/ResetItems
True;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;MethodCall;RowDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/ResetItems
True;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;MethodCall;RowDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/AddRow
True;cs+class://Qnh/Sbs/PricingTool/Common/Controls/NotifyingGrid;cs+class://System/Windows/Controls/Grid;MethodCall;ColumnDefinitions;cs+class://Qnh/Sbs/PricingTool/Common/Controls/GridItems/AddColumn
True;cs+class://RadWrapper/RadMessageBox;cs+class://Telerik/Windows/Controls/RadWindow;MethodCall;DialogResult;cs+class://Qnh/Sbs/PricingTool/Common/View/ConfirmationMessageService/Confirm
True;cs+class://RadWrapper/RadMessageBox;cs+class://Telerik/Windows/Controls/RadWindow;MethodCall;DialogResult;cs+class://Qnh/Sbs/PricingTool/Common/View/ConfirmationMessageService/ConfirmYesNo
True;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];MethodCall;Subscribe;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CurrentMarketViewModel/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];MethodCall;Subscribe;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Events/AvailableMarketsChanged;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];MethodCall;Publish;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/OnChangesSaved
True;cs+class://Qnh/Sbs/PricingTool/Common/Events/ConnectivityExceptionEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];MethodCall;Subscribe;cs+class://Qnh/Sbs/PricingTool/Shell/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Events/ConnectivityExceptionEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];MethodCall;Publish;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetActiveMarket
