direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;FieldAccess;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;DispatcherUnhandledException;cs+class://Qnh/Sbs/PricingTool/App/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;Current;cs+class://Qnh/Sbs/PricingTool/App/HandleException
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;Shutdown;cs+class://Qnh/Sbs/PricingTool/App/HandleException
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;OnStartup;cs+class://Qnh/Sbs/PricingTool/App/OnStartup
True;FieldAccess;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;DispatcherUnhandledException;cs+class://Qnh/Sbs/PricingTool/App/(field initializer)
True;MethodCall;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;Current;cs+class://Qnh/Sbs/PricingTool/App/HandleException
