Direct?;From;To;Type;Member;FromMember
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;MethodCall;Set;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;FieldAccess;DispatcherUnhandledException;cs+class://Qnh/Sbs/PricingTool/App/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/App;cs+class://System/Windows/Application;MethodCall;Current;cs+class://Qnh/Sbs/PricingTool/App/HandleException
