direct?;source;from;to;from declaration
True;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;OnPropertyChanged in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
True;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Error in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
True;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Error in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
True;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;ValidateProperty in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
True;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/UpdateChecker/PricingToolUpdater;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;ValidateProperty in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
True;Assignment;cs+class://Qnh/Sbs/PricingTool/Shell;cs+class://System/Windows/Window;CreateShell in Qnh.Sbs.PricingTool.Bootstrapper
False;Return;cs+class://Qnh/Sbs/PricingTool/Shell;cs+class://System/Windows/Window;CreateShell in Qnh.Sbs.PricingTool.Bootstrapper
True;Assignment;cs+class://Qnh/Sbs/PricingTool/Shell;cs+class://System/Windows/Window;CreateShell in Qnh.Sbs.PricingTool.Bootstrapper
False;Return;cs+class://Qnh/Sbs/PricingTool/Shell;cs+class://System/Windows/Window;CreateShell in Qnh.Sbs.PricingTool.Bootstrapper
True;Assignment;cs+class://Qnh/Sbs/PricingTool/Common/Behaviors/WindowDialogActivationBehavior;cs+class://Qnh/Sbs/PricingTool/Common/Behaviors/DialogActivationBehavior;RegisterNewPopupRegion in Qnh.Sbs.PricingTool.Common.Behaviors.RegionPopupBehaviors
True;Return;cs+class://Qnh/Sbs/PricingTool/Common/Behaviors/WindowWrapper;cs+interface://Qnh/Sbs/PricingTool/Common/Behaviors/IWindow;CreateWindow in Qnh.Sbs.PricingTool.Common.Behaviors.WindowDialogActivationBehavior
True;Assignment;cs+class://Qnh/Sbs/PricingTool/Common/Controls/ResourceKeyToResourceConverter;cs+interface://System/Windows/Data/IMultiValueConverter;ProvideValue in Qnh.Sbs.PricingTool.Common.Controls.ResourceKeyBindingExtension
True;Parameter;cs+class://Qnh/Sbs/PricingTool/Common/Model/Converters/CostTypeToSurfaceTypeConverter;cs+interface://Qnh/Sbs/PricingTool/Common/Model/MasterData/CostTypes/ICostTypeVisitor;Convert in Qnh.Sbs.PricingTool.Common.Model.Converters.CostTypeToSurfaceTypeConverter
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ColourClassMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;OnPropertyChanged in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ColourClassMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;Error in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ColourClassMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;Error in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ColourClassMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;ValidateProperty in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/ColourClassMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;ValidateProperty in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/MachiningMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;OnPropertyChanged in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
False;ThisChangingType;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/MachiningMargin;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/BaseMargins/BaseMargin;Error in Qnh.Sbs.PricingTool.Common.ViewModel.BindableBase
