From;To;Source
cs+class://Qnh/Sbs/PricingTool/Behaviors/RadTabControlAdapter;cs+class://Microsoft/Practices/Prism/Regions/RegionAdapterBase[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Common/ViewExportAttribute;cs+class://System/ComponentModel/Composition/ExportAttribute;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/AnyCompositeCommand;cs+class://Microsoft/Practices/Prism/Commands/CompositeCommand;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CrudViewModelBase[2];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Data/ContextWrapper;cs+class://Qnh/Sbs/PricingTool/Data/ContextWrapperBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Data/ImportContext;cs+class://System/Data/Entity/DbContext;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Data/PricingToolContext;cs+class://System/Data/Entity/DbContext;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Data/SellingPriceSimulationInformation;cs+class://Qnh/Sbs/PricingTool/Data/ContextWrapperBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Import/CostParser;cs+class://Qnh/Sbs/PricingTool/Business/Import/ParserBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Import/ItemMasterParser;cs+class://Qnh/Sbs/PricingTool/Business/Import/ParserBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Import/SalesHistoryParser;cs+class://Qnh/Sbs/PricingTool/Business/Import/ParserBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Import/SellingPriceParser;cs+class://Qnh/Sbs/PricingTool/Business/Import/ParserBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Import/ShapeCoefficientParser;cs+class://Qnh/Sbs/PricingTool/Business/Import/ParserBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/GenericOverrider;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/OverriderBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/MetalOverrider;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/OverriderBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/ThermalBreakOverrider;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostOverride/OverriderBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ProductSeriesViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/SalesHistoryViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientValuesViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientValuesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeDetailsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/DiscountGroupViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/GlobalsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/Controller/SimulationViewController;cs+class://Qnh/Sbs/PricingTool/Simulation/Controller/SimulationViewControllerBase[2];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/BaseMarginViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WrapperViewModel[1];(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/LeafNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ModifierNodeBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MarketNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ProductRangeNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ProductSeriesNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/LeafNode;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ProductTypeNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ModifierNodeBase;(not implemented)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisDeltaViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisDetailViewModelBase;(not implemented)
