direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://Raven/Database/Actions/MaintenanceActions;cs+class://Raven/Database/Actions/ActionsBase;TransactionalStorage;cs+class://Raven/Database/Actions/MaintenanceActions/StartBackup
True;FieldAccess;cs+class://Raven/Database/Actions/MaintenanceActions;cs+class://Raven/Database/Actions/ActionsBase;TransactionalStorage;cs+class://Raven/Database/Actions/MaintenanceActions/StartBackup
True;FieldAccess;cs+class://Raven/Database/Actions/MaintenanceActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/MaintenanceActions/StartBackup
True;FieldAccess;cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/DocumentActions/GetDocumentsWithIdStartingWith
True;FieldAccess;cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/DocumentActions/GetWithTransformer
True;FieldAccess;cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;UuidGenerator;cs+class://Raven/Database/Actions/DocumentActions/Put
True;FieldAccess;cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;UuidGenerator;cs+class://Raven/Database/Actions/DocumentActions/Delete
True;FieldAccess;cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;TransactionalStorage;cs+class://Raven/Database/Actions/IndexActions/PutNewIndexIntoStorage
True;FieldAccess;cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;WorkContext;cs+class://Raven/Database/Actions/IndexActions/PutNewIndexIntoStorage
True;FieldAccess;cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/IndexActions/ApplyPrecomputedBatchForNewIndex
True;FieldAccess;cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;WorkContext;cs+class://Raven/Database/Actions/IndexActions/InvokeSuggestionIndexing
True;FieldAccess;cs+class://Raven/Database/Actions/NotificationActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/NotificationActions/RaiseNotifications
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/PatchActions/ApplyPatch
True;FieldAccess;cs+class://Raven/Database/Actions/QueryActions;cs+class://Raven/Database/Actions/ActionsBase;Database;cs+class://Raven/Database/Actions/QueryActions/Query
True;FieldAccess;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/(field initializer)
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Errors;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/HandleLink
True;FieldAccess;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;ServerUrl;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/Flatten
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Destinations;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/Flatten
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Sources;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode/Flatten
True;MethodCall;cs+class://Raven/Database/Server/Connections/HttpTracePushContent;cs+class://System/Net/Http/HttpContent;Dispose;cs+class://Raven/Database/Server/Connections/HttpTracePushContent/Dispose
True;FieldAccess;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;DatabaseName;cs+class://Raven/Database/Server/Controllers/HttpTraceController/HttpTrace
True;FieldAccess;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;DatabaseName;cs+class://Raven/Database/Server/Controllers/HttpTraceController/HttpTrace
False;FieldAccess;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;User;cs+class://Raven/Database/Server/Controllers/HttpTraceController/HttpTrace
True;MethodCall;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetMessageWithObject;cs+class://Raven/Database/Server/Controllers/HttpTraceController/HttpTrace
True;MethodCall;cs+class://Raven/Database/Server/Connections/LogsPushContent;cs+class://System/Net/Http/HttpContent;Dispose;cs+class://Raven/Database/Server/Connections/LogsPushContent/Dispose
