direct?;source;from;to;from declaration
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Flatten in Raven.Database.Bundles.Replication.Data.ReplicationTopologyRootNode
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;TryGetSchema in Raven.Database.Bundles.Replication.Impl.ReplicationTopologyDiscoverer
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyDestinationNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;Flatten in Raven.Database.Bundles.Replication.Data.ReplicationTopologyRootNode
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyDestinationNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;Flatten in Raven.Database.Bundles.Replication.Data.ReplicationTopologyRootNode
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyDestinationNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;FindVisitedNodes in Raven.Database.Bundles.Replication.Impl.ReplicationTopologyDiscoverer
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologySourceNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;Flatten in Raven.Database.Bundles.Replication.Data.ReplicationTopologyRootNode
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologySourceNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;Flatten in Raven.Database.Bundles.Replication.Data.ReplicationTopologyRootNode
False;Parameter;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologySourceNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;FindVisitedNodes in Raven.Database.Bundles.Replication.Impl.ReplicationTopologyDiscoverer
True;Parameter;cs+class://Raven/Database/Server/Connections/HttpTracePushContent;cs+interface://Raven/Database/Server/Connections/IEventsTransport;HttpTrace in Raven.Database.Server.Controllers.HttpTraceController
True;Parameter;cs+class://Raven/Database/Server/Connections/HttpTracePushContent;cs+interface://Raven/Database/Server/Connections/IEventsTransport;HttpTrace in Raven.Database.Server.Controllers.HttpTraceController
False;Parameter;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;HttpTrace in Raven.Database.Server.Controllers.HttpTraceController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetMessageWithObject in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetMessageWithString in Raven.Database.Server.Controllers.RavenDbApiController
True;Assignment;cs+class://Raven/Database/Server/Connections/LogsPushContent;cs+interface://Raven/Database/Server/Connections/IEventsTransport;For in Raven.Database.Server.Connections.OnDemandLogTarget
True;Parameter;cs+class://Raven/Database/Server/Connections/ReverseStringComparer;cs+interface://System/Collections/Generic/IComparer[1];(field initializer) in Raven.Database.Server.Connections.OnDemandLogConnectionState
True;Return;cs+class://Raven/Database/Util/TimedEnumerable[1];cs+interface://System/Collections/Generic/IEnumerator[1];GetEnumerator in Raven.Database.Util.TimedEnumerable
True;Assignment;cs+class://Raven/Database/Util/TimedEnumerable[1];cs+interface://System/Collections/Generic/IEnumerable[1];Init in Raven.Database.Actions.QueryActions.DatabaseQueryOperation
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/LatestDocumentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractDocumentReplicationConflictResolver;DocsReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/LocalAttachmentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractAttachmentReplicationConflictResolver;AttachmentReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/RemoteAttachmentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractAttachmentReplicationConflictResolver;AttachmentReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/RemoteDocumentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractDocumentReplicationConflictResolver;DocsReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
True;Parameter;cs+class://Raven/Database/Bundles/Replication/Plugins/LocalDocumentReplicationConflictResolver;cs+class://Raven/Bundles/Replication/Plugins/AbstractDocumentReplicationConflictResolver;DocsReplicationConflictResolvers in Raven.Database.Bundles.Replication.Controllers.ReplicationController
