direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTests;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;ClrInvalidCharacters;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferences/FusionAssemblyIdentityTests/FusionToAssemblyName
True;MethodCall;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference2;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;FilePath;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/PortableReference_Display
True;MethodCall;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerLeaderBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;EnclosingHandler;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BlockedBranchDestinationSlow
False;FieldAccess;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerLeaderBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;Reachability;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/MarkReachableFromTry
False;FieldAccess;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerLeaderBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;Reachability;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerContainerScope/GetExceptionHandlerRegions
False;FieldAccess;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/SwitchBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;Start;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/RealizeBlocks
True;MethodCall;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerScope;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/LocalScopeInfo;GetScopesWithLocals;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerContainerScope/GetBounds
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNodeHead;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];Balance;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/AddNode
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNodeHead;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];Left;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/AddNode
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNodeHead;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];Right;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/AddNode
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;HashCode;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/TryGetValue
True;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;HashCode;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/TryGetValue
False;FieldAccess;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;key;cs+class://Microsoft/CodeAnalysis/SmallDictionary[2]/TryGetValue
