type;from;to;direct;marker;constants;systemType
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/InMemoryAssemblyLoaderTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Collections/ReadOnlyArrayTests/AbsoluteValueComparer;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Collections/ReadOnlyArrayTests/D;cs+class://Microsoft/CodeAnalysis/UnitTests/Collections/ReadOnlyArrayTests/C;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/CommonCommandLineParserTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/CommonTypedConstantTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/IDiagnosticAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCompilationEndedAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCompilationEndedAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICompilationAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnNamePrefixDeclarationAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnNamePrefixDeclarationAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISymbolAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnTypeDeclarationAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnTypeDeclarationAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISymbolAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICodeBlockNestedAnalyzerFactory;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer/CSharpCodeBodyAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISyntaxNodeAnalyzer[1];True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer/CSharpCodeBodyAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICodeBlockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer/BasicCodeBodyAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISyntaxNodeAnalyzer[1];True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCodeBodyAnalyzer/BasicCodeBodyAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ICodeBlockAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCommentAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnCommentAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISyntaxTreeAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnTokenAnalyzer;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/AbstractMockAnalyzer;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/Diagnostics/SuppressMessageAttributeTests/WarningOnTokenAnalyzer;cs+interface://Microsoft/CodeAnalysis/Diagnostics/ISyntaxTreeAnalyzer;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataFileReferenceResolverTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/InternalUtilities/ConcurrentLruCacheTests/OrderedTestDictionary[2];cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/InternalUtilities/OneOrManyTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/InternalUtilities/WeakListTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityComparerTests;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityDisplayNameTests;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTests;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyIdentityTestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyMetadataTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/AssemblyPortabilityPolicyTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CI;cs+class://Microsoft/CodeAnalysis/UnitTests/FusionAssemblyPortabilityPolicy;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests;cs+class://Roslyn/Test/Utilities/TestBase;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/TestDocumentationProvider;cs+class://Microsoft/CodeAnalysis/DocumentationProvider;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;True;False;False;True
CC;cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference2;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;True;False;False;True
