fromType;toType;fromMethod;toMethod;calledFrom
cs+class://ICSharpCode/Core/AbstractCheckableMenuCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Debugging/DebuggerServiceFallback;cs+class://ICSharpCode/SharpDevelop/Debugging/BaseDebuggerService;Void RemoveCurrentLineMarker();Void RemoveCurrentLineMarker();OnDebugStopped
cs+class://ICSharpCode/SharpDevelop/Debugging/DebuggerServiceFallback;cs+class://ICSharpCode/SharpDevelop/Debugging/BaseDebuggerService;Void Stop();Void Stop();OnSolutionClosing
cs+class://ICSharpCode/SharpDevelop/Debugging/DebuggerServiceFallback;cs+class://ICSharpCode/SharpDevelop/Debugging/BaseDebuggerService;Void Stop();Void Stop();OnSolutionClosing
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/AssemblyReferencesTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/AssemblyReferenceTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/AssemblyTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Void LoadChildren();Void LoadChildren();EnsureLazyChildren
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/AssemblyTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/BaseTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/BaseTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/BaseTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void LoadChildren();Void LoadChildren();EnsureLazyChildren
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/DerivedTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/DerivedTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/DerivedTypesTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void LoadChildren();Void LoadChildren();EnsureLazyChildren
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/MemberTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/NamespaceTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/ProjectTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Void InsertSpecialNodes();Void InsertSpecialNodes();LoadChildren
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/ProjectTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/SolutionTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/TypeDefinitionTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Void InsertSpecialNodes();Void InsertSpecialNodes();LoadChildren
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/TypeDefinitionTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/ClassBrowser/WorkspaceTreeNode;cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;Object GetModel();Object GetModel();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void OnRemove(UnknownType);Void OnRemove(UnknownType);Clear
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void ValidateItem(UnknownType);Void ValidateItem(UnknownType);Add
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void OnAdd(UnknownType);Void OnAdd(UnknownType);Add
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void ValidateItem(UnknownType);Void ValidateItem(UnknownType);AddRange
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void OnAdd(UnknownType);Void OnAdd(UnknownType);AddRange
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void OnRemove(UnknownType);Void OnRemove(UnknownType);Remove
cs+class://ICSharpCode/SharpDevelop/Dom/KeyedModelCollection[2];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void OnRemove(UnknownType);Void OnRemove(UnknownType);RemoveAll
cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void OnIsVisibleChanged();Void OnIsVisibleChanged();UpdateIsVisible
cs+class://ICSharpCode/SharpDevelop/Dom/ModelCollectionTreeNode;cs+class://ICSharpCode/TreeView/SharpTreeNode;Void LoadChildren();Void LoadChildren();EnsureLazyChildren
cs+class://ICSharpCode/SharpDevelop/Dom/NullSafeSimpleModelCollection[1];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void ValidateItem(UnknownType);Void ValidateItem(UnknownType);Add
cs+class://ICSharpCode/SharpDevelop/Dom/NullSafeSimpleModelCollection[1];cs+class://ICSharpCode/SharpDevelop/Dom/SimpleModelCollection[1];Void ValidateItem(UnknownType);Void ValidateItem(UnknownType);AddRange
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkPad;cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkPadBase;Boolean ShowBookmarkInThisPad(SDBookmark);Boolean ShowBookmarkInThisPad(SDBookmark);(field initializer)
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkPad;cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkPadBase;Boolean ShowBookmarkInThisPad(SDBookmark);Boolean ShowBookmarkInThisPad(SDBookmark);BookmarkManagerAdded
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/NextBookmarkPadCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/PrevBookmarkPadCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/DeleteAllMarks;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/DeleteMark;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/EnableDisableAll;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/SDBookmark;cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkBase;Void RemoveMark();Void RemoveMark();AnchorDeleted
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/SDBookmark;cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/BookmarkBase;Void RemoveMark();Void RemoveMark();MouseUp
cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/SDMarkerBookmark;cs+class://ICSharpCode/SharpDevelop/Editor/Bookmarks/SDBookmark;Void OnDocumentChanged(EventArgs);Void OnDocumentChanged(EventArgs);(field initializer)
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();SavePreferences
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();(field initializer)
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();Start
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();CreateStartInfo
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();CreateProjectItem
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();GetDefaultItemType
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();ProjectCreationComplete
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();ProjectLoaded
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;ProjectBehavior GetOrCreateBehavior();ProjectBehavior GetOrCreateBehavior();PrepareSymbolSearch
cs+class://ICSharpCode/SharpDevelop/Project/Commands/ViewInBrowser;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/FindReferencesCommand;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ResolveResultMenuCommand;Void Run(ResolveResult);Void Run(ResolveResult);Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/RenameSymbolCommand;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ResolveResultMenuCommand;Boolean CanExecute(ResolveResult);Boolean CanExecute(ResolveResult);CanExecute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/RenameSymbolCommand;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ResolveResultMenuCommand;Void Run(ResolveResult);Void Run(ResolveResult);Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/GotoLineNumber;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ReformatSelection;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
