direct?;source;from;to;from declaration;to declaration
False;MethodCall;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;InnerException;cs+class://ICSharpCode/Core/AddInTreeImpl/Load
False;MethodCall;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;InnerException;cs+class://ICSharpCode/Core/AddInTreeImpl/Load
False;MethodCall;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;Message;cs+class://ICSharpCode/Core/AddInTreeImpl/Load
False;MethodCall;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;Message;cs+class://ICSharpCode/Core/AddInTreeImpl/Load
False;MethodCall;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;Message;cs+class://ICSharpCode/Core/AddInTreeImpl/Load
False;MethodCall;cs+class://ICSharpCode/Core/TreePathNotFoundException;cs+class://ICSharpCode/Core/CoreException;Message;cs+class://ICSharpCode/SharpDevelop/Templates/FileTemplateImpl/ReadAction
False;MethodCall;cs+class://ICSharpCode/Core/TreePathNotFoundException;cs+class://ICSharpCode/Core/CoreException;Message;cs+class://ICSharpCode/SharpDevelop/Templates/ProjectTemplateImpl/ReadAction
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;ToString;cs+class://ICSharpCode/Core/FileUtility/SearchDirectory
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;GetParentDirectory;cs+class://ICSharpCode/Core/FileUtility/ObservedSave
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;GetParentDirectory;cs+class://ICSharpCode/SharpDevelop/Parser/DefaultAssemblySearcher/(field initializer)
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;ToString;cs+class://ICSharpCode/SharpDevelop/Parser/ProjectContentContainer/GetCacheFileName
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;ToString;cs+class://ICSharpCode/SharpDevelop/EmbeddedResourceFileSystem/ToResourceName
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;GetParentDirectory;cs+class://ICSharpCode/SharpDevelop/EmbeddedResourceFileSystem/GetFiles
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;GetParentDirectory;cs+class://ICSharpCode/SharpDevelop/Project/ComReferenceProjectItem/(field initializer)
True;MethodCall;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;GetParentDirectory;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject/SavePreferences
