direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/Combine
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/Combine
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/CombineFile
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/CombineDirectory
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/GetRelativePath
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/GetRelativePath
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/ToStringWithTrailingBackslash
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/ToStringWithTrailingBackslash
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/Equals
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/Equals
True;FieldAccess;cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/DirectoryName/GetHashCode
True;MethodCall;cs+class://ICSharpCode/Core/DirectoryNameConverter;cs+class://System/ComponentModel/TypeConverter;CanConvertFrom;cs+class://ICSharpCode/Core/DirectoryNameConverter/CanConvertFrom
True;MethodCall;cs+class://ICSharpCode/Core/DirectoryNameConverter;cs+class://System/ComponentModel/TypeConverter;CanConvertTo;cs+class://ICSharpCode/Core/DirectoryNameConverter/CanConvertTo
True;MethodCall;cs+class://ICSharpCode/Core/DirectoryNameConverter;cs+class://System/ComponentModel/TypeConverter;ConvertFrom;cs+class://ICSharpCode/Core/DirectoryNameConverter/ConvertFrom
True;MethodCall;cs+class://ICSharpCode/Core/DirectoryNameConverter;cs+class://System/ComponentModel/TypeConverter;ConvertTo;cs+class://ICSharpCode/Core/DirectoryNameConverter/ConvertTo
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/GetFileName
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/GetExtension
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/GetFileNameWithoutExtension
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/Equals
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/Equals
True;FieldAccess;cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;normalizedPath;cs+class://ICSharpCode/Core/FileName/GetHashCode
True;MethodCall;cs+class://ICSharpCode/Core/FileNameConverter;cs+class://System/ComponentModel/TypeConverter;CanConvertFrom;cs+class://ICSharpCode/Core/FileNameConverter/CanConvertFrom
