From;To;Source
cs+class://ICSharpCode/SharpDevelop/BuildWorker/EventSource/UnknownBuildEventArgs;cs+class://Microsoft/Build/Framework/CustomBuildEventArgs;(not implemented)
cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;(not implemented)
cs+class://ICSharpCode/Core/TreePathNotFoundException;cs+class://ICSharpCode/Core/CoreException;(not implemented)
cs+class://ICSharpCode/Core/CoreException;cs+class://System/Exception;(not implemented)
cs+class://ICSharpCode/Core/DirectoryName;cs+class://ICSharpCode/Core/PathName;(not implemented)
cs+class://ICSharpCode/Core/FileName;cs+class://ICSharpCode/Core/PathName;(not implemented)
cs+class://ICSharpCode/Core/FallbackLoggingService;cs+class://ICSharpCode/Core/Implementation/TextWriterLoggingService;(not implemented)
cs+class://ICSharpCode/Core/FallbackMessageService;cs+class://ICSharpCode/Core/Implementation/TextWriterMessageService;(not implemented)
cs+class://ICSharpCode/Core/ResourceNotFoundException;cs+class://ICSharpCode/Core/CoreException;(not implemented)
cs+class://ICSharpCode/Core/ServiceNotFoundException;cs+class://ICSharpCode/Core/CoreException;(not implemented)
cs+class://ICSharpCode/Core/Presentation/MenuCheckBox;cs+class://ICSharpCode/Core/Presentation/CoreMenuItem;(not implemented)
cs+class://ICSharpCode/Core/Presentation/MenuCommand;cs+class://ICSharpCode/Core/Presentation/CoreMenuItem;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Dom/ImmutableModelCollection[1];cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://ICSharpCode/SharpDevelop/Dom/ImmutableModelCollectionImplementsMutableInterface[1];cs+class://ICSharpCode/SharpDevelop/Dom/ImmutableModelCollection[1];(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ErrorProject;cs+class://ICSharpCode/SharpDevelop/Project/AbstractProject;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ProjectLoadInformation;cs+class://ICSharpCode/SharpDevelop/Project/ProjectInformation;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ProjectCreateInformation;cs+class://ICSharpCode/SharpDevelop/Project/ProjectInformation;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ProjectLoadException;cs+class://System/FormatException;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/ToolNotFoundProjectLoadException;cs+class://ICSharpCode/SharpDevelop/Project/ProjectLoadException;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/SolutionClosingEventArgs;cs+class://ICSharpCode/SharpDevelop/Project/SolutionEventArgs;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Project/DotNet4xClient;cs+class://ICSharpCode/SharpDevelop/Project/DotNet4x;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Editor/Search/AvalonEditSearchResultMatch;cs+class://ICSharpCode/SharpDevelop/Editor/Search/SearchResultMatch;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Editor/Search/RenameResultMatch;cs+class://ICSharpCode/SharpDevelop/Editor/Search/SearchResultMatch;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Editor/Search/PatchedFile;cs+class://ICSharpCode/SharpDevelop/Editor/Search/SearchedFile;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Editor/TextNavigationPoint;cs+class://ICSharpCode/SharpDevelop/DefaultNavigationPoint;(not implemented)
cs+class://ICSharpCode/SharpDevelop/Templates/TemplateLoadException;cs+class://System/Exception;(not implemented)
cs+class://ICSharpCode/SharpDevelop/ProcessRunner/SafeProcessHandle;cs+class://Microsoft/Win32/SafeHandles/SafeHandleZeroOrMinusOneIsInvalid;(not implemented)
