direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://InternalSystem/Exception;cs+class://InternalSystem/Object;VTable;cs+class://SharpOS/Korlib/Runtime/Runtime/Throw
True;FieldAccess;cs+class://InternalSystem/Exception;cs+class://InternalSystem/Object;VTable;cs+class://SharpOS/Korlib/Runtime/Runtime/GetExceptionHandler
True;FieldAccess;cs+class://InternalSystem/Exception;cs+class://InternalSystem/Object;VTable;cs+class://SharpOS/Korlib/Runtime/Runtime/GetExceptionHandler
True;FieldAccess;cs+class://InternalSystem/Exception;cs+class://InternalSystem/Object;VTable;cs+class://SharpOS/Korlib/Runtime/Runtime/GetExceptionHandler
True;FieldAccess;cs+class://SharpOS/Tools/KeyCompiler/CompilerOptions;cs+class://Mono/GetOptions/Options;RemainingArguments;cs+class://SharpOS/Tools/KeyCompiler/Compiler/Main
True;FieldAccess;cs+class://SharpOS/Tools/KeyCompiler/CompilerOptions;cs+class://Mono/GetOptions/Options;RemainingArguments;cs+class://SharpOS/Tools/KeyCompiler/Compiler/Main
True;FieldAccess;cs+class://DiskImageUpdater/UpdaterOptions;cs+class://Mono/GetOptions/Options;RemainingArguments;cs+class://DiskImageUpdater/Program/Main
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Add;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Def;cs+class://SharpOS/AOT/X86/AssemblyMethod/Add
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Add;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/Add
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Add;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/Add
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/And;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Def;cs+class://SharpOS/AOT/X86/AssemblyMethod/And
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/And;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/And
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/And;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/And
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Box;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/Box
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Box;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Def;cs+class://SharpOS/AOT/X86/AssemblyMethod/Box
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Branch;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Block;cs+class://SharpOS/AOT/X86/AssemblyMethod/Branch
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Branch;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Block;cs+class://SharpOS/AOT/X86/AssemblyMethod/Branch
True;MethodCall;cs+class://SharpOS/AOT/IR/Instructions/Branch;cs+class://SharpOS/AOT/IR/Instructions/Instruction;Use;cs+class://SharpOS/AOT/X86/AssemblyMethod/Branch
