type;from;to;direct;marker;constants;systemType
CI;cs+class://SharpOS/Kernel/ADC/X86/IRQHandler16bit;cs+interface://SharpOS/Kernel/HAL/IRQHandler;True;False;False;True
CI;cs+class://SharpOS/Kernel/ADC/X86/Processor;cs+interface://SharpOS/Kernel/ADC/IProcessor;True;False;False;True
CI;cs+class://SharpOS/Kernel/ADC/RoundRobinScheduler;cs+interface://SharpOS/Kernel/ADC/IScheduler;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+interface://SharpOS/Kernel/DeviceSystem/DiskController/IDiskControllerDevice;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+interface://SharpOS/Kernel/DeviceSystem/DiskController/IDiskControllerDevice;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIController;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIController;cs+interface://SharpOS/Kernel/DeviceSystem/PCI/IPCIController;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIDevice;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/SerialDevice;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/SerialDevice;cs+interface://SharpOS/Kernel/HAL/IIRQCallBack;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/SerialDevice;cs+interface://SharpOS/Kernel/DeviceSystem/ISerialDevice;True;False;False;True
CI;cs+class://SharpOS/Kernel/DeviceSystem/Device;cs+interface://SharpOS/Kernel/DeviceSystem/IDevice;True;False;False;True
CC;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;cs+class://SharpOS/Kernel/DeviceSystem/Device;True;False;False;True
CC;cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FAT;cs+class://SharpOS/Kernel/FileSystem/GenericFileSystem;True;False;False;True
CI;cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/FatMatchClusterComparer;cs+interface://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/ICompare;True;False;False;True
CI;cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/FatAnyExistComparer;cs+interface://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/ICompare;True;False;False;True
CI;cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/FatEntityComparer;cs+interface://SharpOS/Kernel/FileSystem/FATFileSystem/FAT/ICompare;True;False;False;True
CC;cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FATDevice;cs+class://SharpOS/Kernel/DeviceSystem/Device;True;False;False;True
