direct?;source;from;to;from declaration
True;VariableInitializer;cs+class://SharpOS/Kernel/ADC/X86/IRQHandler16bit;cs+interface://SharpOS/Kernel/HAL/IRQHandler;CreateIRQHandler in SharpOS.Kernel.DeviceSystem.HardwareDevice
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Start in SharpOS.Kernel.DeviceSystem.Boot
True;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+interface://SharpOS/Kernel/DeviceSystem/DiskController/IDiskControllerDevice;Initialize in SharpOS.Kernel.DeviceSystem.DiskController.FloppyDiskDriver
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Start in SharpOS.Kernel.DeviceSystem.Boot
True;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+interface://SharpOS/Kernel/DeviceSystem/DiskController/IDiskControllerDevice;Initialize in SharpOS.Kernel.DeviceSystem.DiskController.IDEDiskDriver
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIController;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Start in SharpOS.Kernel.DeviceSystem.Boot
True;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIController;cs+interface://SharpOS/Kernel/DeviceSystem/PCI/IPCIController;Setup in SharpOS.Kernel.DeviceSystem.PCI.PCIController
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/PCI/PCIDevice;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Setup in SharpOS.Kernel.DeviceSystem.PCI.PCIController
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/SerialDevice;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Start in SharpOS.Kernel.DeviceSystem.Boot
False;Parameter;cs+class://SharpOS/Kernel/DeviceSystem/SerialDevice;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;Start in SharpOS.Kernel.DeviceSystem.Boot
