fromType;toType;fromMethod;toMethod;calledFrom
cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/WindowDialogActivationBehavior;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/DialogActivationBehavior;IWindow CreateWindow();IWindow CreateWindow();PrepareContentDialog
cs+class://SifGroup/QualityManagement/Core/CoreModule;cs+class://SifGroup/QualityManagement/Core/Modularity/QualityManagementModule;Void OnEventsInitializing(IEventAggregator);Void OnEventsInitializing(IEventAggregator);Initialize
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task OnFinalizeRefresh();Task OnFinalizeRefresh();CallFinalizeRefresh
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];IQueryable CreateQuery(DbQuery, UnknownType);IQueryable CreateQuery(DbQuery, UnknownType);RefreshAsync
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;Void OnIsActiveChanged();Void OnIsActiveChanged();(field initializer)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;Void OnActivated();Void OnActivated();(field initializer)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;Void OnDeactivated();Void OnDeactivated();(field initializer)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];UnknownType CreateViewModel(UnknownType);UnknownType CreateViewModel(UnknownType);CreateAndMap
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];UnknownType CreateNewItem();UnknownType CreateNewItem();AddNewItems
cs+class://SifGroup/QualityManagement/AsBuilt/AsBuiltModule;cs+class://SifGroup/QualityManagement/Core/Modularity/QualityManagementModule;Void OnMenuCreating(IMenuItemCollection);Void OnMenuCreating(IMenuItemCollection);Initialize
cs+class://SifGroup/QualityManagement/AsBuilt/AsBuiltModule;cs+class://SifGroup/QualityManagement/Core/Modularity/QualityManagementModule;Void OnInitialize();Void OnInitialize();Initialize
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNoteVtViewModel[1];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReleaseNoteVtViewModel[1];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsByComponentViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsViewModel[1];ICollection GetAvailableItems(WeldsViewModel);ICollection GetAvailableItems(WeldsViewModel);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsByComponentViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsViewModel[1];ICollection GetAvailableItems(WeldsViewModel);ICollection GetAvailableItems(WeldsViewModel);GenerateTargetPreviewAsync
