direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/DatabaseLogEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/BaseContext/LogDb
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/DatabaseLogEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/Core/ViewModel/DatabaseLogViewModel/(field initializer)
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/ResetProjectRequestedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectCrudViewModelBehavior[3]/OnActivated
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/ResetProjectRequestedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/MasterData/ViewModel/SelectProjectViewModel/(field initializer)
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/TriggerRefreshEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel/OnSaveCompletedSuccessful
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/TriggerRefreshEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel/OnImportsSatisfied
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/TriggerRefreshEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/WeldsViewModel/OnImportsSatisfied
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Events/TriggerRefreshEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ComponentsViewModel/(field initializer)
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/ErrorHandling/ErrorInfo/IssueWarningIfErrorIsNetworkRelated
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3]/AssertInitialization
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectCrudViewModelBehavior[3]/OnActivated
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Subscribe;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3]/OnImportsSatisfied
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];Publish;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3]/PublishCurrentState
