type;from;to;direct;marker;constants;systemType
CC;cs+class://SifGroup/QualityManagement/Core/BaseContext;cs+class://System/Data/Entity/DbContext;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ListBoxSelectBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/DragAndDrop/DropIndicationDetails;cs+class://Telerik/Windows/Controls/ViewModelBase;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/EnumRadioButtonList;cs+class://System/Windows/Controls/UserControl;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/ScaleConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Events/DatabaseLogEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Events/ResetProjectRequestedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Events/TriggerRefreshEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ApplicationStatus/StatusChangeEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Authorization/DebuggingAuthorizationContext;cs+interface://SifGroup/QualityManagement/Core/Authorization/IAuthorizationContext;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/Authorization/ActiveDirectoryAuthorizationContext;cs+interface://SifGroup/QualityManagement/Core/Authorization/IAuthorizationContext;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/Caching/IEntityCache[2];cs+interface://System/Collections/Generic/IReadOnlyDictionary[2];True;False;False;False
II;cs+interface://SifGroup/QualityManagement/Core/Caching/IEntityCache[2];cs+interface://System/ComponentModel/INotifyPropertyChanged;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;cs+interface://System/Windows/Input/ICommand;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Commands/Command[1];cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Controls/AutoCompleteCreateItemBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/BooleanToVisibilityConverterDefaultHidden;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ButtonScrollViewer;cs+class://System/Windows/Controls/ContentControl;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/CheckListBox;cs+class://System/Windows/Controls/ListBox;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/DateTimePicker;cs+class://System/Windows/Controls/Control;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/GenerateTemplateColumnsBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewTemplateColumn;cs+class://Telerik/Windows/Controls/GridViewDataColumn;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/HasFlagToVisibilityConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/ListToStringConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ProposedValueValidationBindingExtension;cs+class://System/Windows/Markup/MarkupExtension;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ScrollDownBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/FiltersClearedBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/TemplatePlaceholder;cs+class://Telerik/Windows/Controls/GridViewColumn;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/DatePickerMinValueBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/TextBoxMaxLengthBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ComboBoxWithAdd;cs+class://Telerik/Windows/Controls/RadComboBox;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/DialogActivationBehavior;cs+class://Microsoft/Practices/Prism/Regions/RegionBehavior;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/DialogActivationBehavior;cs+interface://Microsoft/Practices/Prism/Regions/Behaviors/IHostAwareRegionBehavior;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/EnumDescriptionConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewSelectBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Icon;cs+class://System/Windows/Controls/Control;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/IsMultiEditToSelectionModeConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ScrollToSelectedItemBehavior;cs+class://System/Windows/Interactivity/Behavior[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Behaviors;cs+class://System/Collections/Generic/List[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Triggers;cs+class://System/Collections/Generic/List[1];True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/TextSearchFilter;cs+interface://Telerik/Windows/Controls/GridView/IFilteringControl;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/DistinctFilterDescriptor;cs+interface://Telerik/Windows/Data/IFilterDescriptor;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/UpperCaseConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/DarkOrLightConverter;cs+class://System/Windows/DependencyObject;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/DarkOrLightConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Controls/StatusToBrushConverter;cs+interface://System/Windows/Data/IValueConverter;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/WindowDialogActivationBehavior;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/DialogActivationBehavior;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/Controls/Dialog/WindowWrapper;cs+interface://SifGroup/QualityManagement/Core/Controls/Dialog/IWindow;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Controls/Wizard;cs+class://System/Windows/Controls/UserControl;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Controls/MergedStylesExtension;cs+class://System/Windows/Markup/MarkupExtension;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Events/SaveCompletedEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/Helpers/EmptyStringsAreLast;cs+interface://System/Collections/Generic/IComparer[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ModificationTracking/HandleModificationsEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/CoreModule;cs+class://SifGroup/QualityManagement/Core/Modularity/QualityManagementModule;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Controls/ExportedValueExtension;cs+class://System/Windows/Markup/MarkupExtension;True;False;False;False
II;cs+interface://SifGroup/QualityManagement/Core/Menu/IMenuItemCollection;cs+interface://SifGroup/QualityManagement/Core/Menu/IMaintainMenuItem;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/Menu/IMenuItem;cs+interface://SifGroup/QualityManagement/Core/Menu/IMaintainMenuItem;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItemCollection;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItemCollectionBase;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItemCollection;cs+interface://SifGroup/QualityManagement/Core/Menu/IMenuItemCollection;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItem;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItemCollectionBase;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/Menu/MenuItem;cs+interface://SifGroup/QualityManagement/Core/Menu/IMenuItem;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/Modularity/QualityManagementModule;cs+interface://Microsoft/Practices/Prism/Modularity/IModule;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/CanBeNullAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/NotNullAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/StringFormatMethodAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/InvokerParameterNameAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/NotifyPropertyChangedInvocatorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/ContractAnnotationAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/LocalizationRequiredAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/CannotApplyEqualityOperatorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/BaseTypeRequiredAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/UsedImplicitlyAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/MeansImplicitUseAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/PublicAPIAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/InstantHandleAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/PureAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/PathReferenceAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcActionAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcAreaAttribute;cs+class://SifGroup/QualityManagement/Core/Annotations/PathReferenceAttribute;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcControllerAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcMasterAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcModelTypeAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcPartialViewAttribute;cs+class://SifGroup/QualityManagement/Core/Annotations/PathReferenceAttribute;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcSupressViewErrorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcDisplayTemplateAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcEditorTemplateAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcTemplateAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcViewAttribute;cs+class://SifGroup/QualityManagement/Core/Annotations/PathReferenceAttribute;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/AspMvcActionSelectorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/HtmlElementAttributesAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/HtmlAttributeValueAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Annotations/RazorSectionAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ProposedValueErrorValidationRule;cs+class://System/Windows/Controls/ValidationRule;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/AnyCompositeCommand;cs+class://Microsoft/Practices/Prism/Commands/CompositeCommand;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3];cs+interface://SifGroup/QualityManagement/Core/Caching/IEntityCache[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectCrudViewModelBehavior[3];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/ICrudViewModelBehavior[3];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/PropertyChangeTracker[1];cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/PropertyPathAccessor[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IPropertyPathAccess[1];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/RangeOperationsObservableCollection[1];cs+class://System/Collections/ObjectModel/ObservableCollection[1];True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/RangeOperationsObservableCollection[1];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IRangeOperations;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IRangeOperations;cs+interface://System/Collections/Specialized/INotifyCollectionChanged;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/TextSearchFilterDescriptor[1];cs+class://SifGroup/QualityManagement/DataModel/BindableObject;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/TextSearchFilterDescriptor[1];cs+interface://Telerik/Windows/Data/IFilterDescriptor;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/DatabaseLogViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/DeepLinkRequestEvent;cs+class://Microsoft/Practices/Prism/Events/CompositePresentationEvent[1];True;False;False;False
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IComposite;cs+interface://Microsoft/Practices/Prism/IActiveAware;True;False;False;False
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IComposite;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IModifiedAware;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IWizardAware;cs+interface://System/ComponentModel/INotifyPropertyChanged;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/ModificationWrapperViewModel;cs+class://SifGroup/QualityManagement/DataModel/BindableObject;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/ModificationWrapperViewModel;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IModifiedAware;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/ISelectItemViewModel;cs+interface://System/ComponentModel/INotifyPropertyChanged;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/SelectItemViewModel[1];cs+class://SifGroup/QualityManagement/DataModel/BindableObject;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/SelectItemViewModel[1];cs+interface://SifGroup/QualityManagement/Core/ViewModel/ISelectItemViewModel;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/UserInfo;cs+interface://System/IEquatable[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/WizardCompletedEventArgs;cs+class://System/EventArgs;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/Properties/Settings;cs+class://System/Configuration/ApplicationSettingsBase;True;False;False;False
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceDbConfiguration[4];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceConfigurationBase[3];True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IUnorderedListSourceDbConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceDbConfiguration[4];True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IOrderedListSourceDbConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceDbConfiguration[4];True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IUnorderedListSourceConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceConfigurationBase[3];True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IOrderedListSourceConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceConfigurationBase[3];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IUnorderedListSourceConfiguration[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IOrderedListSourceConfiguration[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IListSourceConfigurationBackend[1];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CacheListSourceConfiguration[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/DbListSourceConfiguration[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/DbListSourceConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IOrderedListSourceDbConfiguration[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/DbListSourceConfiguration[2];cs+interface://SifGroup/QualityManagement/Core/ViewModel/Crud/IUnorderedListSourceDbConfiguration[2];True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/MultiEditManager[1];cs+interface://SifGroup/QualityManagement/Core/ViewModel/IMultiEditConfiguration[1];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+interface://System/ComponentModel/Composition/IPartImportsSatisfiedNotification;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+interface://SifGroup/QualityManagement/Core/ViewModel/IConfirmClose;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+interface://SifGroup/QualityManagement/Core/ViewModel/IComposite;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];cs+interface://Microsoft/Practices/Prism/Regions/IConfirmNavigationRequest;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/StatusAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/EnumsViewModel;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/HandleModificationsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;True;False;False;True
II;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IModifiedAware;cs+interface://System/ComponentModel/INotifyPropertyChanged;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/ProjectIdCollection;cs+class://SifGroup/QualityManagement/Core/ViewModel/RecentlyUsedCollection[1];True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/RecentlyUsedCollection[1];cs+class://System/Collections/ObjectModel/ObservableCollection[1];True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;cs+class://SifGroup/QualityManagement/DataModel/ValidatingObject;True;False;False;True
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;cs+interface://Microsoft/Practices/Prism/IActiveAware;True;False;False;False
CI;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;cs+interface://SifGroup/QualityManagement/Core/ViewModel/IModifiedAware;True;False;False;True
CC;cs+class://SifGroup/QualityManagement/Core/View/DatabaseLogView;cs+class://System/Windows/Controls/UserControl;True;False;False;False
CC;cs+class://SifGroup/QualityManagement/Core/ViewModel/HomePageViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;True;False;False;True
