direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/BaseContext;cs+class://System/Data/Entity/DbContext;OnModelCreating;cs+class://SifGroup/QualityManagement/Core/BaseContext/OnModelCreating
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/(field initializer)
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/OnGridPreviewKeyDown
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleMove
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleKeyRight
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleKeyRight
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleKeyLeft
True;MethodCall;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior;cs+class://System/Windows/Interactivity/Behavior[1];AssociatedObject;cs+class://SifGroup/QualityManagement/Core/Controls/GridViewNavigationBehavior/HandleKeyLeft
