direct?;source;from;to;from declaration
True;ThisChangingType;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;RaiseCanExecuteChanged in SifGroup.QualityManagement.Core.Commands.CommandBase
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;OnApplyTemplate in SifGroup.QualityManagement.Core.Controls.Wizard
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;OnApplyTemplate in SifGroup.QualityManagement.Core.Controls.Wizard
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;OnApplyTemplate in SifGroup.QualityManagement.Core.Controls.Wizard
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;OnApplyTemplate in SifGroup.QualityManagement.Core.Controls.Wizard
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;CreateForView in SifGroup.QualityManagement.Core.Menu.MenuItemHelper
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;StatusInfoViewModel in SifGroup.QualityManagement.ViewModel.StatusInfoViewModel
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;ExpiredTesterCertificationsViewModel in SifGroup.QualityManagement.AsBuilt.ViewModel.ExpiredTesterCertificationsViewModel
False;Assignment;cs+class://SifGroup/QualityManagement/Core/Commands/Command;cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;WeldsViewModel in SifGroup.QualityManagement.AsBuilt.ViewModel.WeldsViewModel
True;ThisChangingType;cs+class://SifGroup/QualityManagement/Core/Commands/Command[1];cs+class://SifGroup/QualityManagement/Core/Commands/CommandBase;RaiseCanExecuteChanged in SifGroup.QualityManagement.Core.Commands.CommandBase
True;Parameter;cs+class://SifGroup/QualityManagement/Core/Controls/TemplatePlaceholder;cs+class://Telerik/Windows/Controls/GridViewColumn;RemoveGeneratedColumns in SifGroup.QualityManagement.Core.Controls.GenerateTemplateColumnsBehavior
True;Parameter;cs+class://SifGroup/QualityManagement/Core/Controls/TemplatePlaceholder;cs+class://Telerik/Windows/Controls/GridViewColumn;GenerateColumns in SifGroup.QualityManagement.Core.Controls.GenerateTemplateColumnsBehavior
