From;To;Source
cs+class://SifGroup/QualityManagement/Core/BaseContext;cs+class://System/Data/Entity/DbContext;(not implemented)
cs+class://SifGroup/QualityManagement/Core/ProposedValueErrorValidationRule;cs+class://System/Windows/Controls/ValidationRule;(not implemented)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/AnyCompositeCommand;cs+class://Microsoft/Practices/Prism/Commands/CompositeCommand;(not implemented)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CacheListSourceConfiguration[3];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];(not implemented)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/DbListSourceConfiguration[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ListSourceConfigurationBase[2];(not implemented)
cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];(not implemented)
cs+class://SifGroup/QualityManagement/Core/ViewModel/ProjectIdCollection;cs+class://SifGroup/QualityManagement/Core/ViewModel/RecentlyUsedCollection[1];(not implemented)
cs+class://SifGroup/QualityManagement/Core/View/ExportToRegionAttribute;cs+class://System/ComponentModel/Composition/ExportAttribute;(not implemented)
cs+class://SifGroup/QualityManagement/RegionAdapters/RadPaneGroupRegionAdapter;cs+class://Microsoft/Practices/Prism/Regions/RegionAdapterBase[1];(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/DataAccess/AsBuiltContext;cs+class://SifGroup/QualityManagement/Core/BaseContext;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/DataAccess/TestSettingsContext;cs+class://SifGroup/QualityManagement/Core/BaseContext;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/IO/MaterialIdentificationSurveyFileInfo;cs+class://SifGroup/QualityManagement/AsBuilt/IO/FileInfoBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/IO/MaterialCertificateFileInfo;cs+class://SifGroup/QualityManagement/AsBuilt/IO/FileInfoBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/IO/AsBuiltDrawingFileInfo;cs+class://SifGroup/QualityManagement/AsBuilt/IO/FileInfoBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/LockingService/LockingServiceClient;cs+class://System/ServiceModel/DuplexClientBase[1];(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsByComponentViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsViewModel[1];(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsBySectionViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/CopyWeldsViewModel[1];(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadByComponentsViewModelBase;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadCertificatesViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadDrawingsViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadByComponentsViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadMaterialIdentificationSurveyViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/DownloadByComponentsViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/DefaultTestSettingViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/ProjectTestSettingViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WrappedTestSettingViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WeldTypeTestSettingViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WrappedTestSettingViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WrappedTestSettingViewModelBase;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WeldTestSettingViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WrappedTestSettingViewModelBase;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/View/LongitudinalWeldsView;cs+class://SifGroup/QualityManagement/AsBuilt/View/WeldsView;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/View/CircumferentialWeldsView;cs+class://SifGroup/QualityManagement/AsBuilt/View/WeldsView;(not implemented)
cs+class://SifGroup/QualityManagement/AsBuilt/View/WeldAttachmentsView;cs+class://SifGroup/QualityManagement/AsBuilt/View/WeldsView;(not implemented)
cs+class://SifGroup/QualityManagement/MasterData/DataAccess/MasterDataContext;cs+class://SifGroup/QualityManagement/Core/BaseContext;(not implemented)
cs+class://SifGroup/QualityManagement/MasterData/ViewModel/InterceptableAnyCompositeCommand;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/AnyCompositeCommand;(not implemented)
cs+class://SifGroup/QualityManagement/Import/Business/ImportContext;cs+class://SifGroup/QualityManagement/Core/BaseContext;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/DataAccess/ReportingServicesContext;cs+class://SifGroup/QualityManagement/Core/BaseContext;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/FileSystemReportSource;cs+class://SifGroup/QualityManagement/ReportingServices/ReportSourceBase;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/LocalReport;cs+class://SifGroup/QualityManagement/ReportingServices/Report;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/ServerReport;cs+class://SifGroup/QualityManagement/ReportingServices/Report;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/ServerReportSource;cs+class://SifGroup/QualityManagement/ReportingServices/ReportSourceBase;(not implemented)
cs+class://SifGroup/QualityManagement/ReportingServices/ReportingService/ReportingService2010SoapClient;cs+class://System/ServiceModel/ClientBase[1];(not implemented)
