direct?;source;from;to;from declaration;to declaration
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];Name;cs+class://Umbraco/Web/Editors/ContentControllerBase/UpdateName
True;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];PersistedContent;cs+class://Umbraco/Web/Editors/ContentControllerBase/UpdateName
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];Name;cs+class://Umbraco/Web/Editors/ContentControllerBase/UpdateName
True;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];ContentDto;cs+class://Umbraco/Web/Editors/ContentControllerBase/MapPropertyValues
True;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];PersistedContent;cs+class://Umbraco/Web/Editors/ContentControllerBase/MapPropertyValues
True;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];Action;cs+class://Umbraco/Web/Editors/MediaPostValidateAttribute/OnActionExecuting
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];PersistedContent;cs+class://Umbraco/Web/Editors/MediaPostValidateAttribute/OnActionExecuting
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];ParentId;cs+class://Umbraco/Web/Editors/MediaPostValidateAttribute/OnActionExecuting
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];ParentId;cs+class://Umbraco/Web/Editors/MediaPostValidateAttribute/OnActionExecuting
False;MethodCall;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];ParentId;cs+class://Umbraco/Web/Editors/MediaPostValidateAttribute/OnActionExecuting
