fromType;toType;fromMethod;toMethod;calledFrom
cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;UnknownType CanAcceptChange(Span, TextChange);UnknownType CanAcceptChange(Span, TextChange);ApplyChange
cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;UnknownType CanAcceptChange(Span, TextChange);UnknownType CanAcceptChange(Span, TextChange);ApplyChange
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitStartMethodInvoke(String);Void EmitStartMethodInvoke(String);WriteStartMethodInvoke
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitStartMethodInvoke(String, UnknownType);Void EmitStartMethodInvoke(String, UnknownType);WriteStartMethodInvoke
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitEndMethodInvoke();Void EmitEndMethodInvoke();WriteEndMethodInvoke
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitEndLambdaExpression();Void EmitEndLambdaExpression();WriteEndLambdaExpression
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitEndConstructor();Void EmitEndConstructor();WriteEndConstructor
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void WriteSnippet(String);Void WriteSnippet(String);WriteBooleanLiteral
cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;Void EmitStartMethodInvoke(String);Void EmitStartMethodInvoke(String);EmitStartMethodInvoke
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void WriteLinePragma(Nullable, String);Void WriteLinePragma(Nullable, String);WriteLinePragma
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void WriteLinePragma(Nullable, String);Void WriteLinePragma(Nullable, String);WriteLinePragma
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void EmitStartLambdaExpression(UnknownType);Void EmitStartLambdaExpression(UnknownType);WriteStartLambdaExpression
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void EmitStartConstructor(String);Void EmitStartConstructor(String);WriteStartConstructor
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void EmitStartLambdaDelegate(UnknownType);Void EmitStartLambdaDelegate(UnknownType);WriteStartLambdaDelegate
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void EmitEndLambdaDelegate();Void EmitEndLambdaDelegate();WriteEndLambdaDelegate
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;Void WriteStartGenerics();Void WriteStartGenerics();EmitStartMethodInvoke
