direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;AcceptedCharacters;cs+class://System/Web/Razor/Parser/CSharpCodeParser/HelperDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;Rewrite;cs+class://System/Web/Razor/Test/Parser/Html/HtmlAttributeTest/ConditionalAttributeCollapserDoesNotRemoveUrlAttributeValues
True;MethodCall;cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;Rewrite;cs+class://System/Web/Razor/Test/Parser/Html/HtmlAttributeTest/ConditionalAttributesDoNotCreateExtraDataForEntirelyLiteralAttribute
False;MethodCall;cs+class://System/Web/Razor/Parser/HtmlMarkupParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];Context;cs+class://System/Web/Mvc/Razor/Test/MvcVBRazorCodeParserTest/ParseDocument
False;MethodCall;cs+class://System/Web/Razor/Parser/HtmlMarkupParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];Context;cs+class://System/Web/Mvc/Razor/Test/MvcCSharpRazorCodeParserTest/ParseDocument
True;MethodCall;cs+class://System/Web/Razor/Parser/MarkupCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;Rewrite;cs+class://System/Web/Razor/Test/Parser/Html/HtmlAttributeTest/ConditionalAttributeCollapserDoesNotRemoveUrlAttributeValues
True;MethodCall;cs+class://System/Web/Razor/Parser/MarkupCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;Rewrite;cs+class://System/Web/Razor/Test/Parser/Html/HtmlAttributeTest/ConditionalAttributesDoNotCreateExtraDataForEntirelyLiteralAttribute
True;MethodCall;cs+class://System/Web/Razor/Parser/WhiteSpaceRewriter;cs+class://System/Web/Razor/Parser/MarkupRewriter;Rewrite;cs+class://System/Web/Razor/Test/Parser/WhitespaceRewriterTest/Rewrite_Moves_Whitespace_Preceeding_ExpressionBlock_To_Parent_Block
True;MethodCall;cs+class://System/Web/Razor/GeneratorResults;cs+class://System/Web/Razor/ParserResults;Document;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread/WorkerLoop
True;MethodCall;cs+class://System/Web/Razor/GeneratorResults;cs+class://System/Web/Razor/ParserResults;Document;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread/WorkerLoop
