type;from;to;direct;marker;constants;systemType
CC;cs+class://System/Web/Razor/DocumentParseCompleteEventArgs;cs+class://System/EventArgs;True;False;False;False
CC;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;True;False;False;True
CI;cs+class://System/Web/Razor/Editor/BackgroundParser;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;True;False;False;True
CI;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/AttributeBlockCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/DynamicAttributeBlockCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/LiteralAttributeCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/RazorCommentCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/SetLayoutCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;True;False;False;True
CC;cs+class://System/Web/Razor/Editor/SingleLineMarkupEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;True;False;False;True
CC;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;True;False;False;True
CC;cs+class://System/Web/Razor/Generator/AddImportCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;True;False;False;True
CI;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;cs+interface://System/Web/Razor/Generator/IBlockCodeGenerator;True;False;False;True
CI;cs+class://System/Web/Razor/Generator/BlockCodeGenerator/NullBlockCodeGenerator;cs+interface://System/Web/Razor/Generator/IBlockCodeGenerator;True;False;False;True
CI;cs+class://System/Web/Razor/Generator/CodeWriter;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://System/Web/Razor/Generator/BaseCodeWriter;cs+class://System/Web/Razor/Generator/CodeWriter;True;False;False;True
