direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsAtEndOfSpan;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler/CanAcceptChange
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsAtEndOfFirstLine;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler/CanAcceptChange
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;ToString;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler/ToString
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;Equals;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler/Equals
True;MethodCall;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;GetHashCode;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;SetThreadId;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState/(field initializer)
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;EnsureOnThread;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState/Cancel
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;EnsureOnThread;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState/QueueChange
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;EnsureNotOnThread;cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState/GetParcel
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;SetThreadId;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread/(field initializer)
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;EnsureOnThread;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread/WorkerLoop
True;MethodCall;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread;cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;EnsureOnThread;cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread/ParseChange
True;MethodCall;cs+class://System/Web/Razor/Generator/LiteralAttributeCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;GenerateCode;cs+class://System/Web/Razor/Generator/LiteralAttributeCodeGenerator/GenerateCode
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;ToString;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/ToString
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;Equals;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/Equals
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;GetHashCode;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/GetHashCode
True;FieldAccess;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;AcceptedCharacters;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/CanAcceptChange
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsAtEndOfSpan;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/IsNewDotlessCommitInsertion
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsEndReplace;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/IsAcceptableReplace
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsEndDeletion;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/IsAcceptableDeletion
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsAtEndOfSpan;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/IsAcceptableEndInsertion
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;IsAtEndOfSpan;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/IsAcceptableInnerInsertion
True;MethodCall;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;GetOldText;cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler/HandleReplacement
True;MethodCall;cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;WriteSnippet;cs+class://System/Web/Razor/Generator/CSharpCodeWriter/WriteBooleanLiteral
True;MethodCall;cs+class://System/Web/Razor/Generator/CSharpCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;WriteCommaSeparatedList;cs+class://System/Web/Razor/Generator/CSharpCodeWriter/EmitStartLambdaExpression
True;MethodCall;cs+class://System/Web/Razor/Generator/MarkupCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/MarkupCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/ResolveUrlCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/ResolveUrlCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/HelperCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;Equals;cs+class://System/Web/Razor/Generator/HelperCodeGenerator/Equals
True;MethodCall;cs+class://System/Web/Razor/Generator/HelperCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/HelperCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/SectionCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;Equals;cs+class://System/Web/Razor/Generator/SectionCodeGenerator/Equals
True;MethodCall;cs+class://System/Web/Razor/Generator/SectionCodeGenerator;cs+class://System/Web/Razor/Generator/BlockCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/SectionCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/StatementCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/StatementCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/TypeMemberCodeGenerator;cs+class://System/Web/Razor/Generator/SpanCodeGenerator;GetHashCode;cs+class://System/Web/Razor/Generator/TypeMemberCodeGenerator/GetHashCode
True;MethodCall;cs+class://System/Web/Razor/Generator/VBCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;WriteCommaSeparatedList;cs+class://System/Web/Razor/Generator/VBCodeWriter/EmitStartLambdaExpression
True;MethodCall;cs+class://System/Web/Razor/Generator/VBCodeWriter;cs+class://System/Web/Razor/Generator/BaseCodeWriter;WriteCommaSeparatedList;cs+class://System/Web/Razor/Generator/VBCodeWriter/EmitStartLambdaDelegate
True;MethodCall;cs+class://System/Web/Razor/Parser/CallbackVisitor;cs+class://System/Web/Razor/Parser/ParserVisitor;VisitStartBlock;cs+class://System/Web/Razor/Parser/CallbackVisitor/VisitStartBlock
True;MethodCall;cs+class://System/Web/Razor/Parser/CallbackVisitor;cs+class://System/Web/Razor/Parser/ParserVisitor;VisitSpan;cs+class://System/Web/Razor/Parser/CallbackVisitor/VisitSpan
True;MethodCall;cs+class://System/Web/Razor/Parser/CallbackVisitor;cs+class://System/Web/Razor/Parser/ParserVisitor;VisitEndBlock;cs+class://System/Web/Razor/Parser/CallbackVisitor/VisitEndBlock
True;MethodCall;cs+class://System/Web/Razor/Parser/CallbackVisitor;cs+class://System/Web/Razor/Parser/ParserVisitor;VisitError;cs+class://System/Web/Razor/Parser/CallbackVisitor/VisitError
True;MethodCall;cs+class://System/Web/Razor/Parser/CallbackVisitor;cs+class://System/Web/Razor/Parser/ParserVisitor;OnComplete;cs+class://System/Web/Razor/Parser/CallbackVisitor/OnComplete
True;MethodCall;cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;FillSpan;cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser/RewriteBlock
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];AcceptAndMoveNext;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];At;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];AcceptWhile;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];Output;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];AcceptUntil;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];Optional;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
True;MethodCall;cs+class://System/Web/Razor/Parser/CSharpCodeParser;cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];AddMarkerSymbolIfNecessary;cs+class://System/Web/Razor/Parser/CSharpCodeParser/LayoutDirective
