direct?;source;from;to;from declaration
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirective in System.Web.Razor.Parser.CSharpCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;SectionDirective in System.Web.Razor.Parser.CSharpCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;FunctionsDirective in System.Web.Razor.Parser.CSharpCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;VerbatimBlock in System.Web.Razor.Parser.CSharpCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirective in System.Web.Razor.Parser.VBCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;SectionDirective in System.Web.Razor.Parser.VBCodeParser
True;Assignment;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;EndTerminatedDirective in System.Web.Razor.Parser.VBCodeParser
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;AutoCompleteWith in System.Web.Razor.Test.Framework.SpanConstructorExtensions
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;FunctionsDirectiveAutoCompleteAtEOF in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirectiveAutoCompleteAtEOF in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;VerbatimBlockAutoCompleteAtEOF in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;FunctionsDirectiveAutoCompleteAtStartOfFile in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirectiveAutoCompleteAtStartOfFile in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;VerbatimBlockAutoCompleteAtStartOfFile in System.Web.Razor.Test.Parser.CSharp.CSharpAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;FunctionsDirective_AutoComplete_At_EOF in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirective_AutoComplete_At_EOF in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;SectionDirective_AutoComplete_At_EOF in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;VerbatimBlock_AutoComplete_At_EOF in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;FunctionsDirective_AutoComplete_At_StartOfFile in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;HelperDirective_AutoComplete_At_StartOfFile in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;SectionDirective_AutoComplete_At_StartOfFile in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
True;Parameter;cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;VerbatimBlock_AutoComplete_At_StartOfFile in System.Web.Razor.Test.Parser.VB.VBAutoCompleteTest
