From;To;Source
cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;(not implemented)
cs+class://System/Web/Razor/Editor/SingleLineMarkupEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;(not implemented)
cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;cs+class://System/Web/Razor/Editor/SpanEditHandler;(not implemented)
cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;(not implemented)
cs+class://System/Web/Razor/Parser/MarkupCollapser;cs+class://System/Web/Razor/Parser/MarkupRewriter;(not implemented)
cs+class://System/Web/Razor/Parser/WhiteSpaceRewriter;cs+class://System/Web/Razor/Parser/MarkupRewriter;(not implemented)
cs+class://System/Web/Razor/GeneratorResults;cs+class://System/Web/Razor/ParserResults;(not implemented)
cs+class://System/Web/Razor/Tokenizer/CSharpTokenizer;cs+class://System/Web/Razor/Tokenizer/Tokenizer[2];(not implemented)
cs+class://System/Web/Razor/Tokenizer/HtmlTokenizer;cs+class://System/Web/Razor/Tokenizer/Tokenizer[2];(not implemented)
cs+class://System/Web/Razor/Tokenizer/Symbols/VBSymbol;cs+class://System/Web/Razor/Tokenizer/Symbols/SymbolBase[1];(not implemented)
cs+class://System/Web/Razor/Tokenizer/Symbols/CSharpSymbol;cs+class://System/Web/Razor/Tokenizer/Symbols/SymbolBase[1];(not implemented)
cs+class://System/Web/Razor/Tokenizer/Symbols/HtmlSymbol;cs+class://System/Web/Razor/Tokenizer/Symbols/SymbolBase[1];(not implemented)
cs+class://System/Web/Razor/Tokenizer/VBTokenizer;cs+class://System/Web/Razor/Tokenizer/Tokenizer[2];(not implemented)
cs+class://System/Web/Razor/Generator/CSharpRazorCodeGenerator;cs+class://System/Web/Razor/Generator/RazorCodeGenerator;(not implemented)
cs+class://System/Web/Razor/Generator/VBRazorCodeGenerator;cs+class://System/Web/Razor/Generator/RazorCodeGenerator;(not implemented)
cs+class://System/Collections/ObjectModel/ListWrapperCollection[1];cs+class://System/Collections/ObjectModel/Collection[1];(not implemented)
cs+class://System/Web/WebPages/BrowserHelpers/UserAgentWorkerRequest;cs+class://System/Web/Hosting/SimpleWorkerRequest;(not implemented)
cs+class://System/Web/WebPages/HtmlAttributePropertyHelper;cs+class://System/Web/WebPages/PropertyHelper;(not implemented)
cs+class://System/Web/WebPages/CompareValidator;cs+class://System/Web/WebPages/RequestFieldValidatorBase;(not implemented)
