TypeName;SystemType
cs+class://Microsoft/Internal/Web/Utils/CommonResources;True
cs+class://Microsoft/Internal/Web/Utils/HashCodeCombiner;True
cs+class://System/Web/Razor/DocumentParseCompleteEventArgs;True
cs+class://System/EventArgs;False
cs+class://System/Web/Razor/Parser/SyntaxTree/AutoCompleteEditHandler;True
cs+class://System/Web/Razor/Editor/SpanEditHandler;True
cs+class://System/Web/Razor/Editor/BackgroundParser;True
cs+interface://System/IDisposable;False
cs+class://System/Web/Razor/Editor/BackgroundParser/ThreadStateBase;True
cs+class://System/Web/Razor/Editor/BackgroundParser/MainThreadState;True
cs+class://System/Web/Razor/Editor/BackgroundParser/BackgroundThread;True
cs+class://System/Web/Razor/Editor/BackgroundParser/WorkParcel;True
cs+class://System/Web/Razor/Editor/RazorEditorTrace;True
cs+class://System/Web/Razor/Generator/AttributeBlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/BlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/CodeWriterExtensions;True
cs+class://System/Web/Razor/Generator/DynamicAttributeBlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/LiteralAttributeCodeGenerator;True
cs+class://System/Web/Razor/Generator/SpanCodeGenerator;True
cs+class://System/Web/Razor/Generator/RazorCommentCodeGenerator;True
cs+class://System/Web/Razor/Generator/SetLayoutCodeGenerator;True
cs+class://System/Web/Razor/Editor/SingleLineMarkupEditHandler;True
cs+class://System/Web/Razor/Editor/EditResult;True
cs+class://System/Web/Razor/Editor/ImplicitExpressionEditHandler;True
cs+class://System/Web/Razor/Generator/AddImportCodeGenerator;True
cs+interface://System/Web/Razor/Generator/IBlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/BlockCodeGenerator/NullBlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/CodeGeneratorPaddingHelper;True
cs+class://System/Web/Razor/Generator/CodeGeneratorContext;True
cs+class://System/Web/Razor/Generator/CodeGeneratorContext/StatementBuffer;True
cs+class://System/Web/Razor/Generator/CodeWriter;True
cs+class://System/Web/Razor/Generator/BaseCodeWriter;True
cs+class://System/Web/Razor/Generator/RazorDirectiveAttributeCodeGenerator;True
cs+class://System/Web/Razor/Generator/CSharpCodeWriter;True
cs+class://System/Web/Razor/Generator/ExpressionCodeGenerator;True
cs+class://System/Web/Razor/Generator/HybridCodeGenerator;True
cs+class://System/Web/Razor/Generator/GeneratedClassContext;True
cs+interface://System/Web/Razor/Generator/ISpanCodeGenerator;True
cs+class://System/Web/Razor/Generator/MarkupCodeGenerator;True
cs+class://System/Web/Razor/Generator/ResolveUrlCodeGenerator;True
cs+class://System/Web/Razor/Generator/SetBaseTypeCodeGenerator;True
cs+class://System/Web/Razor/Generator/HelperCodeGenerator;True
cs+class://System/Web/Razor/Generator/SectionCodeGenerator;True
cs+class://System/Web/Razor/Generator/SetVBOptionCodeGenerator;True
cs+class://System/Web/Razor/Generator/SpanCodeGenerator/NullSpanCodeGenerator;True
cs+class://System/Web/Razor/Generator/StatementCodeGenerator;True
cs+class://System/Web/Razor/Generator/TemplateBlockCodeGenerator;True
cs+class://System/Web/Razor/Generator/TypeMemberCodeGenerator;True
cs+class://System/Web/Razor/Generator/VBCodeWriter;True
cs+class://System/Web/Razor/Parser/CallbackVisitor;True
cs+class://System/Web/Razor/Parser/ParserVisitor;True
cs+class://System/Web/Razor/Parser/ConditionalAttributeCollapser;True
cs+class://System/Web/Razor/Parser/MarkupRewriter;True
cs+class://System/Web/Razor/Parser/CSharpCodeParser;True
cs+class://System/Web/Razor/Parser/CSharpCodeParser/Block;True
cs+class://System/Web/Razor/Parser/TokenizerBackedParser[3];True
cs+class://System/Web/Razor/Parser/CSharpLanguageCharacteristics;True
cs+class://System/Web/Razor/Parser/LanguageCharacteristics[3];True
cs+class://System/Web/Razor/Parser/HtmlLanguageCharacteristics;True
cs+class://System/Web/Razor/Parser/HtmlMarkupParser;True
cs+interface://System/Web/Razor/Parser/ISyntaxTreeRewriter;True
cs+class://System/Web/Razor/Parser/MarkupCollapser;True
cs+class://System/Web/Razor/Parser/ParserHelpers;True
cs+class://System/Web/Razor/Parser/ParserVisitorExtensions;True
cs+class://System/Web/Razor/Parser/SyntaxConstants;True
cs+class://System/Web/Razor/Parser/SyntaxConstants/CSharp;True
cs+class://System/Web/Razor/Parser/SyntaxConstants/VB;True
cs+class://System/Web/Razor/Parser/SyntaxTree/BlockBuilder;True
cs+class://System/Web/Razor/Parser/SyntaxTree/EquivalenceComparer;True
cs+interface://System/Collections/Generic/IEqualityComparer[1];False
cs+class://System/Boolean;False
cs+class://System/Object;False
cs+class://System/String;False
cs+class://System/Int32;False
cs+class://System/Type;False
cs+class://System/Reflection/MemberInfo;False
cs+interface://System/Collections/Generic/IList[1];False
cs+interface://System/Collections/IEnumerable;False
cs+interface://System/Collections/IEnumerator;False
cs+interface://System/Collections/Generic/IEnumerable[1];False
cs+interface://System/Collections/Generic/IEnumerator[1];False
cs+class://System/Reflection/CustomAttributeData;False
cs+class://System/Reflection/Module;False
cs+class://System/Reflection/MethodBase;False
cs+class://System/RuntimeMethodHandle;False
cs+class://System/ValueType;False
cs+class://System/Runtime/Serialization/SerializationInfo;False
cs+class://System/Runtime/Serialization/SerializationInfoEnumerator;False
cs+class://System/Runtime/Serialization/SerializationEntry;False
cs+class://System/Char;False
cs+interface://System/IFormatProvider;False
