fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitCollection(IDictionaryAdapter, PropertyDescriptor, Type, Object);Void VisitCollection(IDictionaryAdapter, PropertyDescriptor, Type, Object);VisitDictionaryAdapter
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitInterface(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitInterface(IDictionaryAdapter, PropertyDescriptor, Object);VisitDictionaryAdapter
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);VisitDictionaryAdapter
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);VisitProperty
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitInterface(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitInterface(IDictionaryAdapter, PropertyDescriptor, Object);VisitInterface
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);VisitInterface
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitCollection(IDictionaryAdapter, PropertyDescriptor, Type, Object);Void VisitCollection(IDictionaryAdapter, PropertyDescriptor, Type, Object);VisitCollection
cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);Void VisitProperty(IDictionaryAdapter, PropertyDescriptor, Object);VisitCollection
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IsPropertyDefined
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);GetPropertyValue
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);SetPropertyValue
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;Void ConfigureNillable(Boolean);Void ConfigureNillable(Boolean);GetDefaultCollectionAccessor
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);SelectCollectionNode
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IsPropertyDefined
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);GetPropertyValue
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;IXmlCursor SelectPropertyNode(IXmlNode, Boolean);IXmlCursor SelectPropertyNode(IXmlNode, Boolean);SetPropertyValue
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;IXmlCollectionAccessor GetCollectionAccessor(Type);IXmlCollectionAccessor GetCollectionAccessor(Type);RemoveCollectionItems
