type;from;to;direct;marker;constants;systemType
CC;cs+class://Castle/Components/DictionaryAdapter/ReferenceAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathVariableAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathVariableAttribute;cs+interface://System/Xml/Xsl/IXsltContextVariable;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/IfExistsAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/RemoveIfEmptyAttribute;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/RemoveIfEmptyAttribute/RemoveIfEmptyCondition;cs+interface://Castle/Components/DictionaryAdapter/ICondition;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/VolatileAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;cs+interface://Castle/Components/DictionaryAdapter/IDictionaryPropertySetter;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute/ValueCondition;cs+interface://Castle/Components/DictionaryAdapter/ICondition;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/XmlDefaultsAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/StringStorageAttribute;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/StringStorageAttribute;cs+interface://Castle/Components/DictionaryAdapter/IDictionaryPropertySetter;True;False;False;True
II;cs+interface://Castle/Components/DictionaryAdapter/IVirtual[1];cs+interface://Castle/Components/DictionaryAdapter/IVirtual;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+interface://Castle/Components/DictionaryAdapter/IDictionaryEqualityHashCodeStrategy;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+interface://Castle/Components/DictionaryAdapter/IDictionaryInitializer;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/GenericDictionaryAdapter[1];cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapter;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/PropertyChangedEventArgsEx;cs+class://System/ComponentModel/PropertyChangedEventArgs;True;False;False;False
CC;cs+class://Castle/Components/DictionaryAdapter/PropertyChangingEventArgsEx;cs+class://System/ComponentModel/PropertyChangingEventArgs;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/BindingList[1];cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/BindingList[1];cs+interface://System/Collections/IList;True;False;False;False
II;cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];cs+interface://System/Collections/Generic/IList[1];True;False;False;False
II;cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];cs+interface://Castle/Components/DictionaryAdapter/IBindingListSource;True;False;False;True
