direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;ExecutionOrder;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute/(field initializer)
True;MethodCall;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor;cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapterVisitor;VisitDictionaryAdapter;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy/HashCodeVisitor/CalculateHashCode
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;IsReal;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/(field initializer)
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/(field initializer)
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;Value;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/(field initializer)
False;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;type;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/(field initializer)
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/MoveToInitial
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/MoveToSubsequent
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/MoveToSubsequent
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/SetNext
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;node;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/Save
False;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;type;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/Save
False;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;Namespaces;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator/Save
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;cs+class://System/Xml/Xsl/XsltContext;NameTable;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase/GetNameTable
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;cs+class://System/Xml/Xsl/XsltContext;AddNamespace;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase/AddNamespace
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;cs+class://System/Xml/Xsl/XsltContext;LookupNamespace;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase/LookupNamespace
False;MethodCall;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;cs+class://System/Xml/Xsl/XsltContext;LookupPrefix;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase/LookupPrefix
True;FieldAccess;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;ClrType;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor/SelectPropertyNode
