direct?;source;from;to;from declaration
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathVariableAttribute;cs+interface://System/Xml/Xsl/IXsltContextVariable;AddVariable in Castle.Components.DictionaryAdapter.Xml.XmlContextBase
False;ThisChangingType;cs+class://Castle/Components/DictionaryAdapter/RemoveIfEmptyAttribute;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;Copy in Castle.Components.DictionaryAdapter.DictionaryBehaviorAttribute
True;ThisChangingType;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;Copy in Castle.Components.DictionaryAdapter.DictionaryBehaviorAttribute
True;Assignment;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute/ValueCondition;cs+interface://Castle/Components/DictionaryAdapter/ICondition;RemoveIfAttribute in Castle.Components.DictionaryAdapter.RemoveIfAttribute
True;Assignment;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute/ValueCondition;cs+interface://Castle/Components/DictionaryAdapter/ICondition;RemoveIfAttribute in Castle.Components.DictionaryAdapter.RemoveIfAttribute
True;ThisChangingType;cs+class://Castle/Components/DictionaryAdapter/StringStorageAttribute;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;Copy in Castle.Components.DictionaryAdapter.DictionaryBehaviorAttribute
True;ThisChangingType;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+class://Castle/Components/DictionaryAdapter/DictionaryBehaviorAttribute;Copy in Castle.Components.DictionaryAdapter.DictionaryBehaviorAttribute
True;Assignment;cs+class://Castle/Components/DictionaryAdapter/MemberwiseEqualityHashCodeStrategy;cs+interface://Castle/Components/DictionaryAdapter/IDictionaryEqualityHashCodeStrategy;Initialize in Castle.Components.DictionaryAdapter.MemberwiseEqualityHashCodeStrategy
True;ThisChangingType;cs+class://Castle/Components/DictionaryAdapter/GenericDictionaryAdapter[1];cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapter;SyncRoot in Castle.Components.DictionaryAdapter.AbstractDictionaryAdapter
False;Parameter;cs+class://Castle/Components/DictionaryAdapter/GenericDictionaryAdapter[1];cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapter;GetAdapter in Castle.Components.DictionaryAdapter.DictionaryAdapterFactory
False;Parameter;cs+class://Castle/Components/DictionaryAdapter/GenericDictionaryAdapter[1];cs+class://Castle/Components/DictionaryAdapter/AbstractDictionaryAdapter;Can_Save_Everything_As_A_String in Castle.Components.DictionaryAdapter.Tests.AdaptingGenericDictionaryTestCase
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/PropertyChangedEventArgsEx;cs+class://System/ComponentModel/PropertyChangedEventArgs;NotifyPropertyChanged in Castle.Components.DictionaryAdapter.DictionaryAdapterBase
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/PropertyChangingEventArgsEx;cs+class://System/ComponentModel/PropertyChangingEventArgs;NotifyPropertyChanging in Castle.Components.DictionaryAdapter.DictionaryAdapterBase
True;Assignment;cs+class://Castle/Components/DictionaryAdapter/BindingList[1];cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];Can_Reassign_Lists in Castle.Components.DictionaryAdapter.Xml.Tests.XmlAdapterAcceptanceTestCase
True;Cast;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://Castle/Components/DictionaryAdapter/ICollectionProjection;Replace in Castle.Components.DictionaryAdapter.ListProjection
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://Castle/Components/DictionaryAdapter/ICollectionAdapterObserver[1];ListProjection in Castle.Components.DictionaryAdapter.ListProjection
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://Castle/Components/DictionaryAdapter/IVirtualSite[1];Virtual_AddSite in CastleTests.Components.DictionaryAdapter.Tests.VirtualObjectTestCase
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://Castle/Components/DictionaryAdapter/IVirtualSite[1];Virtual_RemoveSite in CastleTests.Components.DictionaryAdapter.Tests.VirtualObjectTestCase
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://Castle/Components/DictionaryAdapter/IVirtualSite[1];Virtual_RemoveSite in CastleTests.Components.DictionaryAdapter.Tests.VirtualObjectTestCase
True;Parameter;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://Castle/Components/DictionaryAdapter/IVirtualSite[1];Real_AddSite in CastleTests.Components.DictionaryAdapter.Tests.VirtualObjectTestCase
