From;To;Source
cs+class://Castle/Components/DictionaryAdapter/RemoveIfEmptyAttribute;cs+class://Castle/Components/DictionaryAdapter/RemoveIfAttribute;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/PropertyChangedEventArgsEx;cs+class://System/ComponentModel/PropertyChangedEventArgs;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/PropertyChangingEventArgsEx;cs+class://System/ComponentModel/PropertyChangingEventArgs;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;cs+class://System/Xml/Xsl/XsltContext;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlSelfAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlArrayBehaviorAccessor/ItemAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAttributeBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlDefaultBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlElementBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlElementBehaviorAccessor/ItemAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlIgnoreBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathBehaviorAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathBehaviorAccessor/DefaultAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathBehaviorAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathBehaviorAccessor/ItemAccessor;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathBehaviorAccessor;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeList[1];cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlTypeSerializerCache;cs+class://Castle/Components/DictionaryAdapter/Xml/SingletonDispenser[2];(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlCursor;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeBase;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContext;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlContextBase;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathMutableCursor;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathNode;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathNode;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlNodeBase;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/Xml/XPathReadOnlyCursor;cs+class://Castle/Components/DictionaryAdapter/Xml/XPathNode;(not implemented)
cs+class://Castle/Core/Internal/WeakKey;cs+class://System/WeakReference;(not implemented)
cs+class://Castle/Components/DictionaryAdapter/EditableBindingList[1];cs+class://System/ComponentModel/BindingList[1];(not implemented)
cs+class://Castle/Components/DictionaryAdapter/EditableList[1];cs+class://System/Collections/Generic/List[1];(not implemented)
cs+class://Castle/Components/DictionaryAdapter/EditableList;cs+class://Castle/Components/DictionaryAdapter/EditableList[1];(not implemented)
cs+class://Castle/DynamicProxy/Internal/CompositionInvocation;cs+class://Castle/DynamicProxy/AbstractInvocation;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ClassProxyWithTargetTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyWithOptionalTargetContributor;cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyWithoutTargetContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/OptionallyForwardingMethodGenerator;cs+class://Castle/DynamicProxy/Generators/MethodGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/WrappedClassMembersCollector;cs+class://Castle/DynamicProxy/Contributors/ClassMembersCollector;(not implemented)
cs+class://Castle/DynamicProxy/InvalidProxyConstructorArgumentsException;cs+class://System/ArgumentException;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ClassMembersCollector;cs+class://Castle/DynamicProxy/Contributors/MembersCollector;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/MinimialisticMethodGenerator;cs+class://Castle/DynamicProxy/Generators/MethodGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceMembersCollector;cs+class://Castle/DynamicProxy/Contributors/MembersCollector;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceMembersOnClassCollector;cs+class://Castle/DynamicProxy/Contributors/MembersCollector;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyWithoutTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
cs+class://Castle/DynamicProxy/Generators/DelegateMembersCollector;cs+class://Castle/DynamicProxy/Contributors/MembersCollector;(not implemented)
cs+class://Castle/DynamicProxy/Generators/DelegateProxyGenerator;cs+class://Castle/DynamicProxy/Generators/BaseProxyGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/DelegateProxyTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
cs+class://Castle/DynamicProxy/Generators/InheritanceInvocationTypeGenerator;cs+class://Castle/DynamicProxy/Generators/InvocationTypeGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Generators/ClassProxyWithTargetGenerator;cs+class://Castle/DynamicProxy/Generators/BaseProxyGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/MixinContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ForwardingMethodGenerator;cs+class://Castle/DynamicProxy/Generators/MethodGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ClassProxyInstanceContributor;cs+class://Castle/DynamicProxy/Contributors/ProxyInstanceContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ClassProxyWithTargetInstanceContributor;cs+class://Castle/DynamicProxy/Contributors/ClassProxyInstanceContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/ClassProxyTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
cs+class://Castle/DynamicProxy/Generators/ClassProxyGenerator;cs+class://Castle/DynamicProxy/Generators/BaseProxyGenerator;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/ClassEmitter;cs+class://Castle/DynamicProxy/Generators/Emitters/AbstractTypeEmitter;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/CodeBuilders/ConstructorCodeBuilder;cs+class://Castle/DynamicProxy/Generators/Emitters/CodeBuilders/AbstractCodeBuilder;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/CodeBuilders/MethodCodeBuilder;cs+class://Castle/DynamicProxy/Generators/Emitters/CodeBuilders/AbstractCodeBuilder;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/NestedClassEmitter;cs+class://Castle/DynamicProxy/Generators/Emitters/AbstractTypeEmitter;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/ArgumentReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/ByRefReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/ConstReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/IndirectReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/LocalReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/SelfReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/Reference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/TypeReference;cs+class://Castle/DynamicProxy/Generators/Emitters/SimpleAST/Reference;(not implemented)
cs+class://Castle/DynamicProxy/Generators/Emitters/TypeConstructorEmitter;cs+class://Castle/DynamicProxy/Generators/Emitters/ConstructorEmitter;(not implemented)
cs+class://Castle/DynamicProxy/Generators/MetaEvent;cs+class://Castle/DynamicProxy/Generators/MetaTypeElement;(not implemented)
cs+class://Castle/DynamicProxy/Generators/GeneratorException;cs+class://System/Exception;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyInstanceContributor;cs+class://Castle/DynamicProxy/Contributors/ProxyInstanceContributor;(not implemented)
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyTargetContributor;cs+class://Castle/DynamicProxy/Contributors/CompositeTypeContributor;(not implemented)
