fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;Void Init();Void Init();Init
cs+class://Castle/Facilities/Startable/StartableFacility/DeferredTryStartFlag;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;Void Start(IHandler);Void Start(IHandler);StartAll
cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;Void Start(IHandler);Void Start(IHandler);StartAll
cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;Void Init();Void Init();Init
cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object CreateInstance(CreationContext, ConstructorCandidate, UnknownType);Object CreateInstance(CreationContext, ConstructorCandidate, UnknownType);Instantiate
cs+class://Castle/Facilities/TypedFactory/DefaultDelegateComponentSelector;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;String GetComponentName(MethodInfo, UnknownType);String GetComponentName(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/Facilities/TypedFactory/DefaultDelegateComponentSelector;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;IDictionary GetArguments(MethodInfo, UnknownType);IDictionary GetArguments(MethodInfo, UnknownType);SelectComponent
cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Object InternalCreate(CreationContext);Object InternalCreate(CreationContext);Create
cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Void InternalDestroy(Object);Void InternalDestroy(Object);Destroy
cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Object InternalCreate(CreationContext);Object InternalCreate(CreationContext);Create
cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Void InternalDestroy(Object);Void InternalDestroy(Object);Destroy
cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object Instantiate(CreationContext);Object Instantiate(CreationContext);InternalCreate
cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Void SetUpProperties(Object, CreationContext);Void SetUpProperties(Object, CreationContext);InternalCreate
cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Void ApplyCommissionConcerns(Object);Void ApplyCommissionConcerns(Object);InternalCreate
cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Void ApplyDecommissionConcerns(Object);Void ApplyDecommissionConcerns(Object);InternalDestroy
cs+class://Castle/MicroKernel/ComponentActivator/ExternalInstanceActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Object InternalCreate(CreationContext);Object InternalCreate(CreationContext);Create
