direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;HasDefaultValue;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CheckCtorCandidate
True;MethodCall;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;TargetItemType;cs+class://Castle/Core/ConstructorCandidate/CompareTo
True;MethodCall;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;TargetItemType;cs+class://Castle/Core/ConstructorCandidate/CompareTo
False;MethodCall;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/ReleasePolicy_tracking_the_same_instance_twice_with_transient_lifestyle_and_factory_method_suggests_different_lifestyle
False;MethodCall;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/When_property_setter_throws_at_resolution_time_exception_suggests_disabling_setting_the_property
False;MethodCall;cs+class://Castle/MicroKernel/Handlers/GenericHandlerTypeMismatchException;cs+class://Castle/MicroKernel/Handlers/HandlerException;Message;cs+class://CastleTests/GenericImplementationWithGreaterArityThanServiceTestCase/Throws_helpful_message_when_generic_matching_strategy_returns_types_that_wont_work_with_the_type
False;MethodCall;cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/DependencyCyclesTestCase/Can_detect_and_report_cycle_via_factory_method
False;MethodCall;cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/DependencyCyclesTestCase/Can_detect_and_report_cycle_where_container_has_lazy_loaders
False;MethodCall;cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/DependencyGraphTestCase/CycleComponentGraphs
False;MethodCall;cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://Castle/Windsor/Tests/CircularDependencyTestCase/ThrowsACircularDependencyException2
False;MethodCall;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;Data;cs+class://Castle/Facilities/TypedFactory/TypedFactoryComponentResolver/Resolve
False;MethodCall;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;Data;cs+class://Castle/Facilities/TypedFactory/TypedFactoryComponentResolver/Resolve
False;MethodCall;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/Resolving_by_name_not_found_prints_helpful_message_many_other_options_present
False;MethodCall;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/Resolving_by_name_not_found_prints_helpful_message_one_other_option_present
False;MethodCall;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/Resolving_by_name_not_found_prints_helpful_message_zero_other_options_present
True;MethodCall;cs+class://Castle/MicroKernel/ComponentRegistrationException;cs+class://System/Exception;Message;cs+class://Castle/MicroKernel/Tests/Configuration/ConfigurationTestCase/Type_not_implementing_service_should_throw
True;MethodCall;cs+class://Castle/MicroKernel/ComponentRegistrationException;cs+class://System/Exception;Message;cs+class://CastleTests/MicroKernelTestCase/ShouldNotRegisterAbstractClass_With_LifestyleType_And_Override_Signature
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/DefaultGenericHandler;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;ComponentModel;cs+class://Castle/MicroKernel/Handlers/GenericHandlerTypeMismatchException/BuildMessage
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/No_resolvable_constructor_no_inline_arguments
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/No_resolvable_constructor_open_generic_component
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/HelpfulExceptionsOnResolveTestCase/No_resolvable_constructor_with_inline_arguments
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/Facilities/EventWiring/SomethingWentWrongTestCase/Helpful_exception_is_thrown_when_publishing_to_non_existing_subscribers
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/Facilities/Synchronize/SynchronizeViaAttributeTestCase/Component_depending_on_named_and_typed_context_works_corrently_if_both_available
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/Facilities/Synchronize/SynchronizeViaAttributeTestCase/Component_depending_on_unregistered_context_via_name_throws
True;MethodCall;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;Message;cs+class://CastleTests/Facilities/Synchronize/SynchronizeViaAttributeTestCase/Component_depending_on_unregistered_context_via_type_throws
