type;from;to;direct;marker;constants;systemType
CC;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;True;False;False;True
CC;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredTryStartFlag;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;True;False;False;True
CC;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;True;False;False;True
CI;cs+class://Castle/Facilities/Startable/StartFlag;cs+interface://Castle/Facilities/Startable/IStartFlagInternal;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;True;False;False;True
CC;cs+class://Castle/Core/BoundToAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;True;False;False;True
CC;cs+class://Castle/Core/CustomLifestyleAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/DoNotSelectAttribute;cs+class://System/Attribute;True;False;False;False
II;cs+interface://Castle/Core/Internal/IMutableCollection[1];cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CI;cs+class://Castle/Core/Internal/SimpleSortedSet[1];cs+interface://System/Collections/Generic/ICollection[1];True;False;False;False
CC;cs+class://Castle/Core/CastleComponentAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/ComponentActivatorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Core/ComponentProxyBehaviorAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;True;False;False;True
CC;cs+class://Castle/Core/DoNotWireAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Core/InterceptorAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];True;False;False;False
CC;cs+class://Castle/Core/LifestyleAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Castle/Core/PerThreadAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/PerWebRequestAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/PooledAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/PropertyDependencyModel;cs+class://Castle/Core/DependencyModel;True;False;False;True
CC;cs+class://Castle/Core/ScopedAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/SingletonAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CC;cs+class://Castle/Core/TransientAttribute;cs+class://Castle/Core/LifestyleAttribute;True;False;False;True
CI;cs+class://Castle/Facilities/Startable/StartableContributor;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
CC;cs+class://Castle/Facilities/TypedFactory/DefaultDelegateComponentSelector;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;True;False;False;True
CC;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+interface://Castle/MicroKernel/ComponentActivator/IDependencyAwareActivator;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/DelegateFactory;cs+interface://Castle/MicroKernel/Resolvers/ILazyComponentLoader;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/DelegateProxyFactory;cs+interface://Castle/MicroKernel/IProxyFactoryExtension;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/DelegateServiceStrategy;cs+interface://Castle/MicroKernel/Handlers/IGenericServiceStrategy;True;False;False;True
CC;cs+class://Castle/Facilities/TypedFactory/FactoryAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Castle/Facilities/TypedFactory/TypedFactoryCachingInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
CI;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;cs+interface://Castle/MicroKernel/IComponentActivator;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;True;False;False;False
CC;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;True;False;False;True
CI;cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+interface://Castle/MicroKernel/ComponentActivator/IDependencyAwareActivator;True;False;False;True
CI;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;True;False;False;False
CI;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/ICloneable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Arguments/ArgumentsComparer;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CC;cs+class://Castle/MicroKernel/Arguments/ArgumentsComparerExtended;cs+class://Castle/MicroKernel/Arguments/ArgumentsComparer;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentActivator/NoResolvableConstructorFoundException;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentActivator/ExternalInstanceActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;True;False;False;True
CI;cs+class://Castle/MicroKernel/ComponentActivator/ExternalInstanceActivator;cs+interface://Castle/MicroKernel/ComponentActivator/IDependencyAwareActivator;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/ComponentLifecycleExtension;cs+interface://Castle/MicroKernel/Handlers/IResolveExtension;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/DependencyInspector;cs+interface://Castle/MicroKernel/Handlers/IDependencyInspector;True;False;False;True
CC;cs+class://Castle/MicroKernel/Handlers/ExtendedHandler;cs+class://Castle/MicroKernel/Handlers/DefaultHandler;True;False;False;True
CC;cs+class://Castle/MicroKernel/Handlers/GenericHandlerTypeMismatchException;cs+class://Castle/MicroKernel/Handlers/HandlerException;True;False;False;True
CC;cs+class://Castle/MicroKernel/Context/CreationContext;cs+class://System/MarshalByRefObject;True;False;False;False
CI;cs+class://Castle/MicroKernel/Context/CreationContext;cs+interface://Castle/MicroKernel/ISubDependencyResolver;True;False;False;True
CI;cs+class://Castle/MicroKernel/Context/CreationContext/ResolutionContext;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/DefaultKernel;cs+class://System/MarshalByRefObject;True;False;False;False
CI;cs+class://Castle/MicroKernel/DefaultKernel;cs+interface://Castle/MicroKernel/IKernel;True;False;False;True
CI;cs+class://Castle/MicroKernel/DefaultKernel;cs+interface://Castle/MicroKernel/IKernelEvents;True;False;False;True
CI;cs+class://Castle/MicroKernel/DefaultKernel;cs+interface://Castle/MicroKernel/IKernelInternal;True;False;False;True
CI;cs+class://Castle/MicroKernel/DefaultKernel/OptimizeDependencyResolutionDisposable;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;True;False;False;True
CC;cs+class://Castle/MicroKernel/ComponentRegistrationException;cs+class://System/Exception;True;False;False;False
II;cs+interface://Castle/MicroKernel/IKernelInternal;cs+interface://Castle/MicroKernel/IKernel;True;False;False;True
CC;cs+class://Castle/MicroKernel/Internal/LazyEx[1];cs+class://System/Lazy[1];True;False;False;False
CI;cs+class://Castle/MicroKernel/Internal/LazyEx[1];cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Internal/LazyServiceStrategy;cs+interface://Castle/MicroKernel/Handlers/IGenericServiceStrategy;True;False;False;True
CC;cs+class://Castle/MicroKernel/KernelException;cs+class://System/Exception;True;False;False;False
CI;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;cs+interface://Castle/MicroKernel/IFacility;True;False;False;True
CI;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/Facilities/FacilityException;cs+class://System/Exception;True;False;False;False
CC;cs+class://Castle/Facilities/Startable/StartableFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;True;False;False;True
CI;cs+class://Castle/Facilities/Startable/StartConcern;cs+interface://Castle/Core/ICommissionConcern;True;False;False;True
CI;cs+class://Castle/Facilities/Startable/StopConcern;cs+interface://Castle/Core/IDecommissionConcern;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/DefaultTypedFactoryComponentSelector;cs+interface://Castle/Facilities/TypedFactory/ITypedFactoryComponentSelector;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/FactoryInterceptor;cs+interface://Castle/DynamicProxy/IInterceptor;True;False;False;False
CI;cs+class://Castle/Facilities/TypedFactory/Internal/FactoryInterceptor;cs+interface://Castle/Core/Interceptor/IOnBehalfAware;True;False;False;True
CC;cs+class://Castle/Facilities/TypedFactory/TypedFactoryFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/TypedFactoryInterceptor;cs+interface://Castle/DynamicProxy/IInterceptor;True;False;False;False
CI;cs+class://Castle/Facilities/TypedFactory/Internal/TypedFactoryInterceptor;cs+interface://Castle/Core/Interceptor/IOnBehalfAware;True;False;False;True
CI;cs+class://Castle/Facilities/TypedFactory/Internal/TypedFactoryInterceptor;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;cs+class://System/MarshalByRefObject;True;False;False;False
CI;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;cs+interface://Castle/MicroKernel/IHandler;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;cs+interface://Castle/MicroKernel/Handlers/IExposeDependencyInfo;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Handlers/ParentHandlerWrapper;cs+interface://Castle/MicroKernel/IHandler;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/ParentHandlerWrapper;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/Handlers/DefaultGenericHandler;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;True;False;False;True
CC;cs+class://Castle/MicroKernel/Handlers/DefaultHandler;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;True;False;False;True
CI;cs+class://Castle/MicroKernel/Handlers/DefaultHandlerFactory;cs+interface://Castle/MicroKernel/IHandlerFactory;True;False;False;True
CC;cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;True;False;False;False
II;cs+interface://Castle/MicroKernel/IHandler;cs+interface://Castle/MicroKernel/ISubDependencyResolver;True;False;False;True
II;cs+interface://Castle/MicroKernel/IKernel;cs+interface://Castle/MicroKernel/IKernelEvents;True;False;False;True
II;cs+interface://Castle/MicroKernel/IKernel;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/Core/Internal/GraphNode;cs+class://System/MarshalByRefObject;True;False;False;False
CI;cs+class://Castle/Core/Internal/GraphNode;cs+interface://Castle/Core/Internal/IVertex;True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/DisposalConcern;cs+interface://Castle/Core/IDecommissionConcern;True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/InitializationConcern;cs+interface://Castle/Core/ICommissionConcern;True;False;False;True
CC;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundCommissionConcerns;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundConcerns[1];True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundCommissionConcerns;cs+interface://Castle/Core/ICommissionConcern;True;False;False;True
CC;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundDecommissionConcerns;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundConcerns[1];True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/LateBoundDecommissionConcerns;cs+interface://Castle/Core/IDecommissionConcern;True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/OnCreatedConcern[1];cs+interface://Castle/Core/ICommissionConcern;True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/OnDestroyConcern[1];cs+interface://Castle/Core/IDecommissionConcern;True;False;False;True
CI;cs+class://Castle/MicroKernel/LifecycleConcerns/SupportInitializeConcern;cs+interface://Castle/Core/ICommissionConcern;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/AbstractLifestyleManager;cs+interface://Castle/MicroKernel/ILifestyleManager;True;False;False;True
II;cs+interface://Castle/MicroKernel/ILifestyleManager;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Lifestyle/ThreadScopeAccessor;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeAccessor;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/PerWebRequestLifestyleModule;cs+interface://System/Web/IHttpModule;True;False;False;False
CC;cs+class://Castle/MicroKernel/Lifestyle/PoolableLifestyleManager;cs+class://Castle/MicroKernel/Lifestyle/AbstractLifestyleManager;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/Pool/DefaultPool;cs+interface://Castle/MicroKernel/Lifestyle/Pool/IPool;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/Pool/DefaultPool;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Lifestyle/Pool/DefaultPoolFactory;cs+interface://Castle/MicroKernel/Lifestyle/Pool/IPoolFactory;True;False;False;True
II;cs+interface://Castle/MicroKernel/Lifestyle/Pool/IPool;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/Lifestyle/Pool/PoolException;cs+class://System/Exception;True;False;False;False
CI;cs+class://Castle/MicroKernel/Lifestyle/Scoped/DefaultLifetimeScope;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/ILifetimeScope;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/Scoped/CreationContextScopeAccessor;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeAccessor;True;False;False;True
II;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeAccessor;cs+interface://System/IDisposable;True;False;False;False
II;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/ILifetimeScope;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Castle/MicroKernel/Lifestyle/Scoped/CallContextLifetimeScope;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/ILifetimeScope;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/LifetimeScopeAccessor;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeAccessor;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/Scoped/ScopeCache;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeCache;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/Scoped/ScopeCache;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Castle/MicroKernel/Lifestyle/ScopedLifestyleManager;cs+class://Castle/MicroKernel/Lifestyle/AbstractLifestyleManager;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/WebRequestScopeAccessor;cs+interface://Castle/MicroKernel/Lifestyle/Scoped/IScopeAccessor;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Descriptors/DelegatingModelDescriptor;cs+interface://Castle/MicroKernel/ModelBuilder/IComponentModelDescriptor;True;False;False;True
CC;cs+class://Castle/MicroKernel/Lifestyle/SingletonLifestyleManager;cs+class://Castle/MicroKernel/Lifestyle/AbstractLifestyleManager;True;False;False;True
CI;cs+class://Castle/MicroKernel/Lifestyle/SingletonLifestyleManager;cs+interface://Castle/MicroKernel/IContextLifestyleManager;True;False;False;True
CC;cs+class://Castle/MicroKernel/Lifestyle/TransientLifestyleManager;cs+class://Castle/MicroKernel/Lifestyle/AbstractLifestyleManager;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/DefaultComponentModelBuilder;cs+interface://Castle/MicroKernel/IComponentModelBuilder;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Descriptors/DynamicParametersDescriptor;cs+interface://Castle/MicroKernel/ModelBuilder/IComponentModelDescriptor;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/ComponentActivatorInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/ComponentProxyInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/ConfigurationModelInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
CI;cs+class://Castle/MicroKernel/ModelBuilder/Inspectors/ConfigurationParametersInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;True;False;False;True
