direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;StartAll;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag/Signal
True;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;Init;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag/Init
False;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredTryStartFlag;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;CacheHandler;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredTryStartFlag/Start
True;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;StartAll;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag/Signal
True;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;Init;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag/Init
True;MethodCall;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;CacheHandler;cs+class://Castle/Facilities/Startable/StartableFacility/LegacyStartFlag/Start
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Kernel;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Kernel;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;initialized;cs+class://Castle/Core/ComponentDependencyModel/Init
True;FieldAccess;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;reference;cs+class://Castle/Core/ComponentDependencyModel/Init
True;FieldAccess;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;DependencyKey;cs+class://Castle/Core/ComponentDependencyModel/Init
False;MethodCall;cs+class://Castle/Core/CastleComponentAttribute;cs+class://Castle/Core/LifestyleAttribute;GetCustomAttribute;cs+class://Castle/Core/CastleComponentAttribute/GetDefaultsFor
True;FieldAccess;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Kernel;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator/InternalCreate
True;FieldAccess;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator/InternalCreate
True;MethodCall;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;ApplyCommissionConcerns;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator/InternalCreate
True;MethodCall;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;ApplyDecommissionConcerns;cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator/InternalDestroy
True;MethodCall;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;ApplyCommissionConcerns;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/InternalCreate
True;MethodCall;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;ApplyDecommissionConcerns;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/InternalDestroy
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Kernel;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Kernel;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateInstanceCore
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/FastCreateInstance
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/SelectEligibleConstructor
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CanSatisfyDependency
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/CreateConstructorArguments
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/SetUpProperties
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/ObtainPropertyValue
True;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator/ObtainPropertyValue
False;FieldAccess;cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Model;cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1]/(field initializer)
