direct?;source;from;to;from declaration
True;Parameter;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;cs+class://Castle/Facilities/Startable/StartFlag;DeferredStart in Castle.Facilities.Startable.StartableFacility
False;Parameter;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredTryStartFlag;cs+class://Castle/Facilities/Startable/StartableFacility/DeferredStartFlag;DeferredTryStart in Castle.Facilities.Startable.StartableFacility
True;Parameter;cs+class://Castle/Facilities/Startable/StartFlag;cs+interface://Castle/Facilities/Startable/IStartFlagInternal;Init in Castle.Facilities.Startable.StartableFacility
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;InternalCreate in Castle.MicroKernel.ComponentActivator.DefaultComponentActivator
True;Parameter;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;AddAnyServiceOverrides in Castle.MicroKernel.ModelBuilder.Inspectors.ConfigurationParametersInspector
True;ThisChangingType;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;Equals in Castle.Core.DependencyModel
True;Parameter;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;Attach in Castle.Core.InterceptorReference
True;Assignment;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;Attach in Castle.MicroKernel.ComponentReference
True;Parameter;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;AddSubscriberDependecyToModel in Castle.Facilities.EventWiring.EventWiringInspector
True;Parameter;cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;AddExtensionDependency in Castle.Facilities.WcfIntegration.Internal.WcfUtils
True;Parameter;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;CheckCtorCandidate in Castle.MicroKernel.ComponentActivator.DefaultComponentActivator
True;Parameter;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;CreateConstructorArguments in Castle.MicroKernel.ComponentActivator.DefaultComponentActivator
True;Parameter;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;AddConstructor in Castle.Core.ComponentModel
True;ThisChangingType;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;Equals in Castle.Core.DependencyModel
True;Parameter;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;CollectDuplicatesBetweenPropertiesAndConstructors in Castle.Windsor.Diagnostics.DuplicatedDependenciesDiagnostic
True;Parameter;cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;CollectDuplicatesBetweenPropertiesAndConstructors in Castle.Windsor.Diagnostics.DuplicatedDependenciesDiagnostic
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/Internal/TypeByInheritanceDepthMostSpecificFirstComparer;cs+interface://System/Collections/Generic/IComparer[1];More_specific_type_goes_first_three_classes in Castle.MicroKernel.Tests.TypeComparerTestCase
True;Parameter;cs+class://Castle/Core/PropertyDependencyModel;cs+class://Castle/Core/DependencyModel;BuildDependency in Castle.MicroKernel.ModelBuilder.Inspectors.PropertiesDependenciesModelInspector
True;ThisChangingType;cs+class://Castle/Core/PropertyDependencyModel;cs+class://Castle/Core/DependencyModel;Equals in Castle.Core.DependencyModel
True;Parameter;cs+class://Castle/Facilities/Startable/StartableContributor;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;Init in Castle.Facilities.Startable.StartableFacility
True;VariableInitializer;cs+class://Castle/Facilities/TypedFactory/Internal/DelegateProxyFactory;cs+interface://Castle/MicroKernel/IProxyFactoryExtension;(field initializer) in Castle.Facilities.TypedFactory.DelegateFactoryActivator
True;Parameter;cs+class://Castle/Facilities/TypedFactory/Internal/DelegateServiceStrategy;cs+interface://Castle/MicroKernel/Handlers/IGenericServiceStrategy;Load in Castle.Facilities.TypedFactory.Internal.DelegateFactory
True;Parameter;cs+class://Castle/Facilities/TypedFactory/TypedFactoryCachingInspector;cs+interface://Castle/MicroKernel/ModelBuilder/IContributeComponentModelConstruction;InitFacility in Castle.Facilities.TypedFactory.TypedFactoryFacility
False;Return;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;TrackInstanceCalledMultipleTimes in Castle.Core.Internal.HelpfulExceptionsUtil
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
False;VariableInitializer;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;When_attemting_to_resolve_component_with_internal_ctor_should_throw_meaningfull_exception in CastleTests.HelpfulExceptionsOnResolveTestCase
False;VariableInitializer;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;When_attemting_to_resolve_component_with_protected_ctor_should_throw_meaningfull_exception in CastleTests.HelpfulExceptionsOnResolveTestCase
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
True;Parameter;cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;ComponentResolutionException in Castle.MicroKernel.ComponentResolutionException
False;Assignment;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;CreateComponentActivator in Castle.MicroKernel.DefaultKernel
True;ThisChangingType;cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;InternalCreate in Castle.MicroKernel.ComponentActivator.DefaultComponentActivator
True;Return;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;GetArguments in Castle.Facilities.TypedFactory.DefaultDelegateComponentSelector
True;Assignment;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;CreationContext in Castle.MicroKernel.Context.CreationContext
True;Assignment;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;CreationContext in Castle.MicroKernel.Context.CreationContext
True;Assignment;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;AdditionalArguments in Castle.MicroKernel.Context.CreationContext
True;Assignment;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;SetContextualProperty in Castle.MicroKernel.Context.CreationContext
True;Return;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;EnsureAdditionalArgumentsWriteable in Castle.MicroKernel.Context.CreationContext
True;Assignment;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;SetContextualProperty in Castle.MicroKernel.Context.CreationContext.ResolutionContext
True;Parameter;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;AddComponentInstance in Castle.MicroKernel.DefaultKernel
True;Parameter;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;AddComponentInstance in Castle.MicroKernel.DefaultKernel
True;Return;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;GetArguments in Castle.Facilities.TypedFactory.DefaultTypedFactoryComponentSelector
True;Parameter;cs+class://Castle/MicroKernel/Arguments;cs+interface://System/Collections/IDictionary;AddTypedFactoryEntry in Castle.Facilities.TypedFactory.TypedFactoryFacility
