From;To;Source
cs+class://Castle/MicroKernel/ComponentActivator/WebUserControlComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;(not implemented)
cs+class://Castle/Core/BoundToAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/ComponentDependencyModel;cs+class://Castle/Core/DependencyModel;(not implemented)
cs+class://Castle/Core/CustomLifestyleAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/CastleComponentAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/ConstructorDependencyModel;cs+class://Castle/Core/DependencyModel;(not implemented)
cs+class://Castle/Core/PerThreadAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/PerWebRequestAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/PooledAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/PropertyDependencyModel;cs+class://Castle/Core/DependencyModel;(not implemented)
cs+class://Castle/Core/ScopedAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/SingletonAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Core/TransientAttribute;cs+class://Castle/Core/LifestyleAttribute;(not implemented)
cs+class://Castle/Facilities/TypedFactory/DelegateFactoryActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;(not implemented)
cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;cs+class://Castle/MicroKernel/ComponentResolutionException;(not implemented)
cs+class://Castle/MicroKernel/ComponentResolutionException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;(not implemented)
cs+class://Castle/MicroKernel/ComponentActivator/FactoryMethodActivator[1];cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;(not implemented)
cs+class://Castle/MicroKernel/ComponentActivator/NoResolvableConstructorFoundException;cs+class://Castle/MicroKernel/ComponentActivator/ComponentActivatorException;(not implemented)
cs+class://Castle/MicroKernel/ComponentActivator/ExternalInstanceActivator;cs+class://Castle/MicroKernel/ComponentActivator/AbstractComponentActivator;(not implemented)
cs+class://Castle/MicroKernel/Handlers/ExtendedHandler;cs+class://Castle/MicroKernel/Handlers/DefaultHandler;(not implemented)
cs+class://Castle/MicroKernel/Handlers/GenericHandlerTypeMismatchException;cs+class://Castle/MicroKernel/Handlers/HandlerException;(not implemented)
cs+class://Castle/MicroKernel/CircularDependencyException;cs+class://Castle/MicroKernel/ComponentResolutionException;(not implemented)
cs+class://Castle/MicroKernel/ComponentNotFoundException;cs+class://Castle/MicroKernel/ComponentResolutionException;(not implemented)
cs+class://Castle/MicroKernel/ComponentRegistrationException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Internal/LazyEx[1];cs+class://System/Lazy[1];(not implemented)
cs+class://Castle/MicroKernel/KernelException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Facilities/FacilityException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Handlers/DefaultGenericHandler;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;(not implemented)
cs+class://Castle/MicroKernel/Handlers/DefaultHandler;cs+class://Castle/MicroKernel/Handlers/AbstractHandler;(not implemented)
cs+class://Castle/MicroKernel/Handlers/HandlerException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Lifestyle/Pool/PoolException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Registration/ComponentRegistration;cs+class://Castle/MicroKernel/Registration/ComponentRegistration[1];(not implemented)
cs+class://Castle/MicroKernel/Registration/Attrib;cs+class://Castle/MicroKernel/Registration/Node;(not implemented)
cs+class://Castle/MicroKernel/Registration/NamedChild;cs+class://Castle/MicroKernel/Registration/Node;(not implemented)
cs+class://Castle/MicroKernel/Registration/SimpleChild;cs+class://Castle/MicroKernel/Registration/Node;(not implemented)
cs+class://Castle/MicroKernel/Registration/ComplexChild;cs+class://Castle/MicroKernel/Registration/Node;(not implemented)
cs+class://Castle/MicroKernel/Registration/CompoundChild;cs+class://Castle/MicroKernel/Registration/Node;(not implemented)
cs+class://Castle/MicroKernel/Registration/Interceptor/InterceptorGroup[1];cs+class://Castle/MicroKernel/Registration/RegistrationGroup[1];(not implemented)
cs+class://Castle/MicroKernel/Registration/Lifestyle/LifestyleGroup[1];cs+class://Castle/MicroKernel/Registration/RegistrationGroup[1];(not implemented)
cs+class://Castle/MicroKernel/Registration/Proxy/ProxyGroup[1];cs+class://Castle/MicroKernel/Registration/RegistrationGroup[1];(not implemented)
cs+class://Castle/MicroKernel/Registration/FromAssemblyDescriptor;cs+class://Castle/MicroKernel/Registration/FromDescriptor;(not implemented)
cs+class://Castle/MicroKernel/Registration/FromTypesDescriptor;cs+class://Castle/MicroKernel/Registration/FromDescriptor;(not implemented)
cs+class://Castle/MicroKernel/Resolvers/DependencyResolverException;cs+class://System/Exception;(not implemented)
cs+class://Castle/MicroKernel/Resolvers/SpecializedResolvers/ArrayResolver;cs+class://Castle/MicroKernel/Resolvers/SpecializedResolvers/CollectionResolver;(not implemented)
cs+class://Castle/MicroKernel/Resolvers/SpecializedResolvers/ListResolver;cs+class://Castle/MicroKernel/Resolvers/SpecializedResolvers/CollectionResolver;(not implemented)
cs+class://Castle/MicroKernel/SubSystems/Conversion/ConverterException;cs+class://System/Exception;(not implemented)
cs+class://Castle/Windsor/Configuration/Interpreters/XmlInterpreter;cs+class://Castle/Windsor/Configuration/Interpreters/AbstractInterpreter;(not implemented)
cs+class://Castle/Windsor/Configuration/Interpreters/ConfigurationProcessingException;cs+class://System/Exception;(not implemented)
cs+class://Castle/Windsor/Configuration/Interpreters/XmlProcessor/XmlProcessorException;cs+class://System/Exception;(not implemented)
cs+class://CastleTests/Components/BDisposable;cs+class://CastleTests/Components/B;(not implemented)
cs+class://CastleTests/Components/CustomTestLifestyleAttribute;cs+class://Castle/Core/CustomLifestyleAttribute;(not implemented)
cs+class://CastleTests/Components/CBADecorator;cs+class://CastleTests/Components/CBA;(not implemented)
cs+class://CastleTests/Components/StandardInterceptorAttribute;cs+class://Castle/Core/InterceptorAttribute;(not implemented)
cs+class://CastleTests/Facilities/Synchronize/Components/DummyFormActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain2;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain3;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain4;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain5;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain6;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain7;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain8;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain9;cs+class://Castle/MicroKernel/Tests/ClassComponents/CustomerChain1;(not implemented)
cs+class://Castle/MicroKernel/Tests/ClassComponents/ServiceUser2;cs+class://Castle/MicroKernel/Tests/ClassComponents/ServiceUser;(not implemented)
