fromType;toType;fromMethod;toMethod;calledFrom
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitEdmEntityContainer
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitEdmFunction
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitEdmEntitySet
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitEdmAssociationSet
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitEdmAssociationSetEnd
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitFunctionImport
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitFunctionImportParameter
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitFunctionImportReturnParameter
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitComplexType
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitFunctionParameter
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;cs+class://System/Data/Entity/Edm/EdmModelVisitor;Void VisitMetadataItem(MetadataItem);Void VisitMetadataItem(MetadataItem);VisitFunctionReturnParameter
