direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;GetRules;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor/EvaluateItem
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmEntityContainer
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmFunction
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitFunctionParameter
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitFunctionReturnParameter
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitCollectionType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmAssociationSet
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmEntitySet
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitFunctionImport
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitFunctionImportParameter
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitRowType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmEnumType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmEnumTypeMember
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitKeyProperties
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmProperty
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmNavigationProperty
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitComplexType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmAssociationEnd
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/VisitEdmAssociationConstraint
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/InternalVisitEdmEntityType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteEndElement;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/InternalVisitEdmAssociationType
True;MethodCall;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;WriteComment;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor/WriteComment
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionPrinter/PrinterVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionPrinter/PrinterVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/Migrations/Infrastructure/DynamicToFunctionModificationCommandConverter/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/Migrations/Infrastructure/DynamicToFunctionModificationCommandConverter/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/Core/Mapping/Update/Internal/Propagator/Evaluator/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/Core/Mapping/Update/Internal/Propagator/Evaluator/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/Core/Mapping/Update/Internal/Propagator/JoinPropagator/JoinConditionVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/Core/Mapping/Update/Internal/Propagator/JoinPropagator/JoinConditionVisitor/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/Migrations/History/HistoryRepository/ParameterInliner/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/Migrations/History/HistoryRepository/ParameterInliner/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/SqlServer/SqlGen/SqlGenerator/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/SqlServer/SqlGen/SqlGenerator/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Left;cs+class://System/Data/Entity/SqlServerCompact/SqlGen/SqlGenerator/Visit
True;MethodCall;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;Right;cs+class://System/Data/Entity/SqlServerCompact/SqlGen/SqlGenerator/Visit
