direct?;source;from;to;from declaration
False;Return;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;CreateEdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
True;Return;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1_1RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;CreateEdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Return;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V2RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;CreateEdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Return;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V3RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V2RuleSet;CreateEdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
False;Parameter;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];EdmModelRuleSet in System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet
