From;To;Source
cs+class://System/Data/Entity/Core/Mapping/IsNullConditionMapping;cs+class://System/Data/Entity/Core/Mapping/ConditionPropertyMapping;(not implemented)
cs+class://System/Data/Entity/Core/Mapping/ValueConditionMapping;cs+class://System/Data/Entity/Core/Mapping/ConditionPropertyMapping;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1_1RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V2RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V3RuleSet;cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V2RuleSet;(not implemented)
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAndExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbApplyExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbArithmeticExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCaseExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCastExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbComparisonExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbConstantExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCrossJoinExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbDerefExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbDistinctExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbElementExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbEntityRefExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExceptExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFilterExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFunctionExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbGroupAggregate;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbAggregate;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbGroupByExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIntersectExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIsEmptyExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIsNullExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIsOfExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbJoinExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLambdaExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLikeExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLimitExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNewInstanceExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNotExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNullExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbOfTypeExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbOrExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbParameterReferenceExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbProjectExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbPropertyExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbQuantifierExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRefExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
