TypeName;SystemType
cs+class://System/Data/Entity/Utilities/ByteExtensions;True
cs+class://System/Data/Entity/Utilities/TypeExtensions;True
cs+class://System/Data/Entity/Utilities/Check;True
cs+class://System/Data/Entity/Utilities/DatabaseName;True
cs+class://System/Data/Entity/Utilities/DebugCheck;True
cs+class://System/Data/Entity/Utilities/IEnumerableExtensions;True
cs+class://System/Data/Entity/Utilities/StringExtensions;True
cs+class://System/Data/Entity/Utilities/MemberInfoExtensions;True
cs+class://System/Data/Entity/Utilities/AssemblyExtensions;True
cs+class://System/Data/Entity/Utilities/PropertyInfoExtensions;True
cs+class://System/Data/Entity/Core/Mapping/FunctionImportMappingComposableHelper;True
cs+class://System/Data/Entity/Core/Mapping/FunctionImportResultMapping;True
cs+class://System/Data/Entity/Core/Mapping/MappingItem;True
cs+class://System/Data/Entity/Core/Mapping/IsNullConditionMapping;True
cs+class://System/Data/Entity/Core/Mapping/ConditionPropertyMapping;True
cs+class://System/Data/Entity/Core/Mapping/ValueConditionMapping;True
cs+class://System/Data/Entity/Core/Metadata/Edm/CsdlSerializer;True
cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelErrorEventArgs;True
cs+class://System/EventArgs;False
cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule;True
cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidationRule[1];True
cs+class://System/Data/Entity/Core/Metadata/Edm/DataModelValidator;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmFunctionPayload;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/NonV1_1RuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1RuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V1_1RuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V2RuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelRuleSet/V3RuleSet;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelSemanticValidationRules;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelSyntacticValidationRules;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationContext;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationRule[1];True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmModelValidationVisitor;True
cs+class://System/Data/Entity/Edm/EdmModelVisitor;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmSerializationVisitor;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter;True
cs+class://System/Data/Entity/Core/Metadata/Edm/XmlSchemaWriter;True
cs+class://System/Data/Entity/Core/Metadata/Edm/EdmXmlSchemaWriter/SyndicationXmlConstants;True
cs+class://System/Data/Entity/Core/Metadata/Edm/MetadataItemHelper;True
cs+class://System/Data/Entity/Core/Metadata/Edm/MslSerializer;True
