fromType;toType;fromMethod;toMethod;calledFrom
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Int32 MeasureHeight();Int32 MeasureHeight();(field initializer)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Int32 MeasureHeight();Int32 MeasureHeight();(field initializer)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Int32 MeasureHeight();Int32 MeasureHeight();(field initializer)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Int32 MeasureHeight();Int32 MeasureHeight();(field initializer)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Int32 MeasureHeight();Int32 MeasureHeight();GetTabStripRectangle
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;Void OnRefreshChanges();Void OnRefreshChanges();RefreshChanges
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;IDockContent HitTest(Point);IDockContent HitTest(Point);HitTest
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCaptionBase;Void OnRefreshChanges();Void OnRefreshChanges();RefreshChanges
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;Void OnRefreshChanges();Void OnRefreshChanges();RefreshChanges
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase;Void OnRefreshChanges();Void OnRefreshChanges();RefreshChanges
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase;Int32 HitTest(Point);Int32 HitTest(Point);HitTest
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;Void OnRefreshChanges();Void OnRefreshChanges();RefreshChanges
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/AutoHideWindowControl/SplitterControl;cs+class://WeifenLuo/WinFormsUI/Docking/SplitterBase;Void StartDrag();Void StartDrag();OnMouseDown
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnEndDrag(Boolean);Void OnEndDrag(Boolean);EndDrag
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnDragging();Void OnDragging();PreFilterMessage
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnDragging();Void OnDragging();OnPreFilterMessage
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockOutline;cs+class://WeifenLuo/WinFormsUI/Docking/DockOutlineBase;Void OnShow();Void OnShow();TestChange
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockOutline;cs+class://WeifenLuo/WinFormsUI/Docking/DockOutlineBase;Void OnClose();Void OnClose();Close
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandlerBase;Boolean OnPreFilterMessage(UnknownType);Boolean OnPreFilterMessage(UnknownType);PreFilterMessage
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/SplitterDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnEndDrag(Boolean);Void OnEndDrag(Boolean);EndDrag
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/SplitterDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnDragging();Void OnDragging();PreFilterMessage
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/SplitterDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;Void OnDragging();Void OnDragging();OnPreFilterMessage
cs+class://WeifenLuo/WinFormsUI/Docking/DockWindow/SplitterControl;cs+class://WeifenLuo/WinFormsUI/Docking/SplitterBase;Void StartDrag();Void StartDrag();OnMouseDown
cs+class://ScintillaNet/Configuration/Scintilla;cs+class://ScintillaNet/Configuration/ConfigFile;Void init(ConfigurationUtility, ConfigFile);Void init(ConfigurationUtility, ConfigFile);init
cs+class://ICSharpCode/SharpZipLib/GZip/GZipInputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/InflaterInputStream;Int32 Read(UnknownType, Int32, Int32);Int32 Read(UnknownType, Int32, Int32);Skip
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);Finish
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);Deflate
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Finish();Void Finish();Close
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Close();Void Close();Close
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);WriteByte
cs+class://ICSharpCode/SharpZipLib/Zip/ZipInputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/InflaterInputStream;Int32 Read(UnknownType, Int32, Int32);Int32 Read(UnknownType, Int32, Int32);Skip
cs+class://ICSharpCode/SharpZipLib/Zip/ZipInputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/InflaterInputStream;Void Close();Void Close();Close
cs+class://ICSharpCode/SharpZipLib/Zip/ZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);Finish
cs+class://ICSharpCode/SharpZipLib/Zip/ZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);Deflate
cs+class://ICSharpCode/SharpZipLib/Zip/ZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Finish();Void Finish();Close
cs+class://ICSharpCode/SharpZipLib/Zip/ZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;Void Write(UnknownType, Int32, Int32);Void Write(UnknownType, Int32, Int32);WriteByte
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;Void BuildClassPath();Void BuildClassPath();(field initializer)
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;Void CheckModel(Boolean);Void CheckModel(Boolean);SetCurrentFile
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;Void BuildClassPath();Void BuildClassPath();Setup
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;MemberList GetVisibleExternalElements();MemberList GetVisibleExternalElements();cacheRefreshTimer_Tick
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;Void UpdateTopLevelElements();Void UpdateTopLevelElements();UpdateContext
cs+class://AS2Context/Context;cs+class://ASCompletion/Context/ASContext;ClassModel ResolveType(String, FileModel);ClassModel ResolveType(String, FileModel);OnSelectOutlineNode
cs+class://ProjectManager/Controls/AS2/AS2PropertiesDialog;cs+class://ProjectManager/Controls/PropertiesDialog;Void BuildDisplay();Void BuildDisplay();SetProject
cs+class://ProjectManager/Controls/AS2/AS2PropertiesDialog;cs+class://ProjectManager/Controls/PropertiesDialog;Boolean Apply();Boolean Apply();btnOK_Click
cs+class://ProjectManager/Controls/AS2/AS2PropertiesDialog;cs+class://ProjectManager/Controls/PropertiesDialog;Boolean Apply();Boolean Apply();btnApply_Click
cs+class://ProjectManager/Projects/AS2/AS2ProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void ProcessNode(String);Void ProcessNode(String);ReadProject
cs+class://ProjectManager/Projects/AS2/AS2ProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;Void OnAfterWriteClasspaths();Void OnAfterWriteClasspaths();WriteProject
cs+class://ProjectManager/Projects/AS2/AS2ProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;Void OnAfterWriteCompileTargets();Void OnAfterWriteCompileTargets();WriteProject
cs+class://ProjectManager/Projects/AS3/AS3Project;cs+class://ProjectManager/Projects/Project;Boolean IsLibraryAsset(String);Boolean IsLibraryAsset(String);ChangeAssetPath
cs+class://ProjectManager/Projects/AS3/AS3ProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void ProcessNode(String);Void ProcessNode(String);ReadProject
cs+class://ProjectManager/Projects/AS3/AS3ProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void PostProcess();Void PostProcess();ReadProject
cs+class://ProjectManager/Projects/AS3/AS3ProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;Void OnAfterWriteClasspaths();Void OnAfterWriteClasspaths();WriteProject
cs+class://ProjectManager/Projects/AS3/FlexProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void ProcessRootNode();Void ProcessRootNode();ReadProject
cs+class://ProjectManager/Projects/AS3/FlexProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void ProcessNode(String);Void ProcessNode(String);ReadProject
cs+class://ProjectManager/Projects/Haxe/HaxeProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void ProcessNode(String);Void ProcessNode(String);ReadProject
cs+class://ProjectManager/Projects/Haxe/HaxeProjectReader;cs+class://ProjectManager/Projects/ProjectReader;Void PostProcess();Void PostProcess();ReadProject
cs+class://ProjectManager/Projects/Haxe/HaxeProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;Void OnAfterWriteClasspaths();Void OnAfterWriteClasspaths();WriteProject
cs+class://ProjectManager/Projects/Haxe/HaxeProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;Void OnAfterWriteCompileTargets();Void OnAfterWriteCompileTargets();WriteProject
cs+class://ProjectManager/Controls/TreeView/ProjectOutputNode;cs+class://ProjectManager/Controls/TreeView/SwfFileNode;Void Refresh(Boolean);Void Refresh(Boolean);RefreshWithFeedback
cs+class://ProjectManager/Controls/TreeView/ProjectNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void NotifyRefresh();Void NotifyRefresh();Refresh
cs+class://ProjectManager/Controls/TreeView/ProjectNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateChildNodes
cs+class://ProjectManager/Controls/TreeView/ProjectNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ProjectNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ProjectNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateFiles
cs+class://ProjectManager/Controls/TreeView/ClasspathNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateChildNodes
cs+class://ProjectManager/Controls/TreeView/ClasspathNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ClasspathNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ClasspathNode;cs+class://ProjectManager/Controls/TreeView/WatcherNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateFiles
cs+class://ProjectManager/Controls/TreeView/ProjectClasspathNode;cs+class://ProjectManager/Controls/TreeView/ClasspathNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateChildNodes
cs+class://ProjectManager/Controls/TreeView/ProjectClasspathNode;cs+class://ProjectManager/Controls/TreeView/ClasspathNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ProjectClasspathNode;cs+class://ProjectManager/Controls/TreeView/ClasspathNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateDirectories
cs+class://ProjectManager/Controls/TreeView/ProjectClasspathNode;cs+class://ProjectManager/Controls/TreeView/ClasspathNode;Void Refresh(Boolean);Void Refresh(Boolean);PopulateFiles
cs+class://ProjectManager/Controls/TreeView/ProjectTreeView;cs+class://System/Windows/Forms/DragDropTreeView;DataObject BeginDragNodes(ArrayList);DataObject BeginDragNodes(ArrayList);OnItemDrag
