direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;ToolbarVisible;cs+class://FlashDevelop/Dialogs/SettingDialog/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;PropertyValueChanged;cs+class://FlashDevelop/Dialogs/SettingDialog/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;Refresh;cs+class://FlashDevelop/Dialogs/SettingDialog/FilterPropertySheet
True;MethodCall;cs+class://FlashDevelop/Controls/QuickFind/EscapeTextBox;cs+class://System/Windows/Forms/ToolStripTextBox;SelectAll;cs+class://FlashDevelop/Controls/QuickFind/ShowControl
True;MethodCall;cs+class://FlashDevelop/Dialogs/ArgReplaceDialog;cs+class://System/Windows/Forms/Form;ShowDialog;cs+class://FlashDevelop/Utilities/ArgsProcessor/ReplaceArgsWithGUI
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;AllowWebBrowserDrop;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;ScriptErrorsSuppressed;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;WebBrowserShortcutsEnabled;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;CanGoForwardChanged;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;CanGoBackChanged;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;Navigated;cs+class://FlashDevelop/Controls/Browser/InitializeComponent
