type;from;to;direct;marker;constants;systemType
CC;cs+class://FlashDevelop/Controls/ArgEditor;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CC;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;True;False;False;False
CI;cs+class://FlashDevelop/Controls/ObjectWrapper;cs+interface://System/ComponentModel/ICustomTypeDescriptor;True;False;False;False
CC;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;True;False;False;True
CI;cs+class://FlashDevelop/Controls/QuickFind;cs+interface://PluginCore/IEventHandler;True;False;False;True
CC;cs+class://FlashDevelop/Controls/QuickFind/QuickFindRenderer;cs+class://System/Windows/Forms/ToolStripRenderer;True;False;False;False
CC;cs+class://FlashDevelop/Controls/QuickFind/EscapeTextBox;cs+class://System/Windows/Forms/ToolStripTextBox;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/ArgumentDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/ArgReplaceDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/HashDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/EditorDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/ShortcutDialog;cs+class://PluginCore/Controls/SmartForm;True;False;False;True
CI;cs+class://FlashDevelop/Dialogs/ListViewComparer;cs+interface://System/Collections/IComparer;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/SnippetDialog;cs+class://PluginCore/Controls/SmartForm;True;False;False;True
CC;cs+class://FlashDevelop/Controls/Browser;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CC;cs+class://FlashDevelop/Controls/WebBrowserEx;cs+class://System/Windows/Forms/WebBrowser;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/FirstRunDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/FRInFilesDialog;cs+class://PluginCore/Controls/SmartForm;True;False;False;True
CC;cs+class://FlashDevelop/Dialogs/FRInDocDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/ErrorDialog;cs+class://PluginCore/Controls/SmartForm;True;False;False;True
CC;cs+class://FlashDevelop/Dialogs/RecoveryDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/SettingDialog;cs+class://PluginCore/Controls/SmartForm;True;False;False;True
CC;cs+class://FlashDevelop/Dialogs/UpdateDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CI;cs+class://FlashDevelop/Managers/Session;cs+interface://PluginCore/ISession;True;False;False;True
CI;cs+class://FlashDevelop/Settings/SettingObject;cs+interface://PluginCore/ISettings;True;False;False;True
CC;cs+class://FlashDevelop/Dialogs/AboutDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Dialogs/GoToDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://FlashDevelop/Docking/DockablePanel;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;True;False;False;True
CC;cs+class://FlashDevelop/Docking/TabbedDocument;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;True;False;False;True
CI;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;True;False;False;True
CI;cs+class://FlashDevelop/Managers/SnippetItem;cs+interface://PluginCore/ICompletionListItem;True;False;False;True
CI;cs+class://FlashDevelop/Managers/SnippetItem;cs+interface://System/IComparable;True;False;False;False
CI;cs+class://FlashDevelop/Managers/SnippetItem;cs+interface://System/IComparable[1];True;False;False;False
CC;cs+class://FlashDevelop/MainForm;cs+class://System/Windows/Forms/Form;True;False;False;False
CI;cs+class://FlashDevelop/MainForm;cs+interface://PluginCore/IMainForm;True;False;False;True
CI;cs+class://FlashDevelop/MainForm;cs+interface://System/Windows/Forms/IMessageFilter;True;False;False;False
CC;cs+class://FlashDevelop/Host;cs+class://System/MarshalByRefObject;True;False;False;False
CC;cs+class://System/Windows/Forms/DockPanelControl;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CC;cs+class://System/Windows/Forms/DockPanelStripRenderer;cs+class://System/Windows/Forms/ToolStripRenderer;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/InertButton;cs+class://System/Windows/Forms/Button;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/InertButton/RepeatClickEventArgs;cs+class://System/EventArgs;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip/TabVS2005;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/Tab;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCaptionBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip/TabVS2005;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase/Tab;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;cs+class://System/Windows/Forms/Control;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/Tab;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/TabCollection;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/Pane;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/PaneCollection;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockAreasEditor;cs+class://System/Drawing/Design/UITypeEditor;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockAreasEditor/DockAreasEditorControl;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;cs+class://System/Windows/Forms/Form;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;cs+interface://WeifenLuo/WinFormsUI/Docking/IDockContent;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockContentCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockContentEventArgs;cs+class://System/EventArgs;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockContentHandler;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockContentHandler;cs+interface://WeifenLuo/WinFormsUI/Docking/IDockDragSource;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPane;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPane;cs+interface://WeifenLuo/WinFormsUI/Docking/IDockDragSource;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPane/SplitterControl;cs+class://System/Windows/Forms/Control;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPane/SplitterControl;cs+interface://WeifenLuo/WinFormsUI/Docking/ISplitterDragSource;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCaptionBase;cs+class://System/Windows/Forms/Control;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/AutoHideWindowControl;cs+class://System/Windows/Forms/Panel;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/AutoHideWindowControl;cs+interface://WeifenLuo/WinFormsUI/Docking/ISplitterDragSource;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/AutoHideWindowControl/SplitterControl;cs+class://WeifenLuo/WinFormsUI/Docking/SplitterBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel;cs+class://System/Windows/Forms/Panel;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator;cs+class://WeifenLuo/WinFormsUI/Docking/DragForm;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/PanelIndicator;cs+class://System/Windows/Forms/PictureBox;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/PanelIndicator;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/IHitTest;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/PaneIndicator;cs+class://System/Windows/Forms/PictureBox;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/PaneIndicator;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockIndicator/IHitTest;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler/DockOutline;cs+class://WeifenLuo/WinFormsUI/Docking/DockOutlineBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandlerBase;cs+class://System/Windows/Forms/NativeWindow;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandlerBase;cs+interface://System/Windows/Forms/IMessageFilter;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandlerBase;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/FocusManagerImpl;cs+class://System/ComponentModel/Component;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/FocusManagerImpl;cs+interface://WeifenLuo/WinFormsUI/Docking/IContentFocusManager;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/FocusManagerImpl;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanel/IFocusManager;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/FocusManagerImpl/HookEventArgs;cs+class://System/EventArgs;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/FocusManagerImpl/LocalWindowsHook;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/MdiClientController;cs+class://System/Windows/Forms/NativeWindow;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/MdiClientController;cs+interface://System/ComponentModel/IComponent;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/MdiClientController;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/Persistor/DummyContent;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/SplitterDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/DefaultDockPaneFactory;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/IDockPaneFactory;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/DefaultFloatWindowFactory;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/IFloatWindowFactory;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/DefaultDockPaneCaptionFactory;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/IDockPaneCaptionFactory;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/DefaultDockPaneStripFactory;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/IDockPaneStripFactory;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/DefaultAutoHideStripFactory;cs+interface://WeifenLuo/WinFormsUI/Docking/DockPanelExtender/IAutoHideStripFactory;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase;cs+class://System/Windows/Forms/Control;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase/Tab;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase/TabCollection;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockWindow;cs+class://System/Windows/Forms/Panel;True;False;False;False
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockWindow;cs+interface://WeifenLuo/WinFormsUI/Docking/INestedPanesContainer;True;False;False;True
CI;cs+class://WeifenLuo/WinFormsUI/Docking/DockWindow;cs+interface://WeifenLuo/WinFormsUI/Docking/ISplitterDragSource;True;False;False;True
CC;cs+class://WeifenLuo/WinFormsUI/Docking/DockWindow/SplitterControl;cs+class://WeifenLuo/WinFormsUI/Docking/SplitterBase;True;False;False;True
