direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://FlashDevelop/Controls/ArgEditor;cs+class://System/Windows/Forms/UserControl;AutoSize;cs+class://FlashDevelop/Controls/ArgEditor/InitializeComponent
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;SelectedObject;cs+class://FlashDevelop/Controls/FilteredGrid/(field initializer)
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;SelectedObject;cs+class://FlashDevelop/Controls/FilteredGrid/(field initializer)
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;SelectedObject;cs+class://FlashDevelop/Controls/FilteredGrid/(field initializer)
True;MethodCall;cs+class://FlashDevelop/Controls/FilteredGrid;cs+class://System/Windows/Forms/PropertyGrid;SelectedObject;cs+class://FlashDevelop/Controls/FilteredGrid/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Font;cs+class://FlashDevelop/Controls/QuickFind/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;ImageScalingSize;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;SuspendLayout;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Click;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Items;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;GripStyle;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Renderer;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Padding;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Dock;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;CanOverflow;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Visible;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;ResumeLayout;cs+class://FlashDevelop/Controls/QuickFind/InitializeComponent
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Parent;cs+class://FlashDevelop/Controls/QuickFind/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Enabled;cs+class://FlashDevelop/Controls/QuickFind/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Enabled;cs+class://FlashDevelop/Controls/QuickFind/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Enabled;cs+class://FlashDevelop/Controls/QuickFind/(field initializer)
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;Show;cs+class://FlashDevelop/Controls/QuickFind/ShowControl
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;ClientRectangle;cs+class://FlashDevelop/Controls/QuickFind/ApplyFixedDocumentPadding
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;RectangleToScreen;cs+class://FlashDevelop/Controls/QuickFind/ApplyFixedDocumentPadding
False;MethodCall;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;ClientRectangle;cs+class://FlashDevelop/Controls/QuickFind/ApplyFixedDocumentPadding
