direct?;source;from;to;from declaration
False;Parameter;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;InitializeComponents in FlashDevelop.MainForm
True;ThisChangingType;cs+class://FlashDevelop/Controls/QuickFind;cs+class://PluginCore/Controls/ToolStripEx;OnFormDeactivate in PluginCore.Controls.ToolStripEx
True;Parameter;cs+class://FlashDevelop/Controls/QuickFind;cs+interface://PluginCore/IEventHandler;InitializeEvents in FlashDevelop.Controls.QuickFind
True;Assignment;cs+class://FlashDevelop/Controls/QuickFind/QuickFindRenderer;cs+class://System/Windows/Forms/ToolStripRenderer;InitializeComponent in FlashDevelop.Controls.QuickFind
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/ShortcutDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormLoad in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/ShortcutDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormClosed in PluginCore.Controls.SmartForm
True;Assignment;cs+class://FlashDevelop/Dialogs/ListViewComparer;cs+interface://System/Collections/IComparer;PopulateListView in FlashDevelop.Dialogs.ShortcutDialog
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/SnippetDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormLoad in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/SnippetDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormClosed in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/FRInFilesDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormLoad in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/FRInFilesDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormClosed in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/ErrorDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormLoad in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/ErrorDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormClosed in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/SettingDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormLoad in PluginCore.Controls.SmartForm
True;ThisChangingType;cs+class://FlashDevelop/Dialogs/SettingDialog;cs+class://PluginCore/Controls/SmartForm;SmartFormClosed in PluginCore.Controls.SmartForm
True;Cast;cs+class://FlashDevelop/Settings/SettingObject;cs+interface://PluginCore/ISettings;Settings in FlashDevelop.MainForm
True;Parameter;cs+class://FlashDevelop/Docking/DockablePanel;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;CreateDockablePanel in FlashDevelop.MainForm
True;Return;cs+class://FlashDevelop/Docking/DockablePanel;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;CreateDockablePanel in FlashDevelop.MainForm
True;ThisChangingType;cs+class://FlashDevelop/Docking/DockablePanel;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;DockContent in WeifenLuo.WinFormsUI.Docking.DockContent
True;ThisChangingType;cs+class://FlashDevelop/Docking/DockablePanel;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;OnDockStateChanged in WeifenLuo.WinFormsUI.Docking.DockContent
True;Return;cs+class://FlashDevelop/Docking/TabbedDocument;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;CreateCustomDocument in FlashDevelop.MainForm
True;Return;cs+class://FlashDevelop/Docking/TabbedDocument;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;CreateEditableDocument in FlashDevelop.MainForm
True;ThisChangingType;cs+class://FlashDevelop/Docking/TabbedDocument;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;DockContent in WeifenLuo.WinFormsUI.Docking.DockContent
True;ThisChangingType;cs+class://FlashDevelop/Docking/TabbedDocument;cs+class://WeifenLuo/WinFormsUI/Docking/DockContent;OnDockStateChanged in WeifenLuo.WinFormsUI.Docking.DockContent
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;AddEditorControls in FlashDevelop.Docking.TabbedDocument
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;Save in FlashDevelop.Docking.TabbedDocument
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;Save in FlashDevelop.Docking.TabbedDocument
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;Reload in FlashDevelop.Docking.TabbedDocument
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;Documents in FlashDevelop.MainForm
True;Parameter;cs+class://FlashDevelop/Docking/TabbedDocument;cs+interface://PluginCore/ITabbedDocument;OpenEditableDocument in FlashDevelop.MainForm
True;Assignment;cs+class://FlashDevelop/Managers/SnippetItem;cs+interface://PluginCore/ICompletionListItem;InsertTextByWord in FlashDevelop.Managers.SnippetManager
True;Assignment;cs+class://FlashDevelop/Managers/SnippetItem;cs+interface://PluginCore/ICompletionListItem;InsertTextByWord in FlashDevelop.Managers.SnippetManager
True;Assignment;cs+class://FlashDevelop/MainForm;cs+class://System/Windows/Forms/Form;ArgumentDialog in FlashDevelop.Dialogs.ArgumentDialog
True;Assignment;cs+class://FlashDevelop/MainForm;cs+class://System/Windows/Forms/Form;ArgReplaceDialog in FlashDevelop.Dialogs.ArgReplaceDialog
True;Assignment;cs+class://FlashDevelop/MainForm;cs+class://System/Windows/Forms/Form;HashDialog in FlashDevelop.Dialogs.HashDialog
True;Assignment;cs+class://FlashDevelop/MainForm;cs+class://System/Windows/Forms/Form;EditorDialog in FlashDevelop.Dialogs.EditorDialog
