From;To;Source
cs+class://FlashDevelop/Controls/QuickFind/EscapeTextBox;cs+class://System/Windows/Forms/ToolStripTextBox;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005AutoHideStrip/TabVS2005;cs+class://WeifenLuo/WinFormsUI/Docking/AutoHideStripBase/Tab;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCaptionBase;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneCaption/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip/TabVS2005;cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneStripBase/Tab;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VS2005DockPaneStrip/InertButton;cs+class://WeifenLuo/WinFormsUI/Docking/InertButtonBase;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/DockContentCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/DockPaneCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DockDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/SplitterDragHandler;cs+class://WeifenLuo/WinFormsUI/Docking/DockPanel/DragHandler;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/DockWindowCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/FloatWindowCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/LocalizedDescriptionAttribute;cs+class://System/ComponentModel/DescriptionAttribute;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/LocalizedCategoryAttribute;cs+class://System/ComponentModel/CategoryAttribute;(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/NestedPaneCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://WeifenLuo/WinFormsUI/Docking/VisibleNestedPaneCollection;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://LitJson/JsonException;cs+class://System/ApplicationException;(not implemented)
cs+class://PluginCore/Controls/ShellContextMenuException;cs+class://System/Exception;(not implemented)
cs+class://PluginCore/Localization/LocalizedCategoryAttribute;cs+class://System/ComponentModel/CategoryAttribute;(not implemented)
cs+class://PluginCore/Localization/LocalizedDescriptionAttribute;cs+class://System/ComponentModel/DescriptionAttribute;(not implemented)
cs+class://PluginCore/Bridge/BridgeClient;cs+class://PluginCore/Bridge/ServerSocket;(not implemented)
cs+class://PluginCore/Controls/MethodCallTip;cs+class://PluginCore/Controls/RichToolTip;(not implemented)
cs+class://PluginCore/TextEvent;cs+class://PluginCore/NotifyEvent;(not implemented)
cs+class://PluginCore/NumberEvent;cs+class://PluginCore/NotifyEvent;(not implemented)
cs+class://PluginCore/KeyEvent;cs+class://PluginCore/NotifyEvent;(not implemented)
cs+class://PluginCore/DataEvent;cs+class://PluginCore/NotifyEvent;(not implemented)
cs+class://SevenZip/DataErrorException;cs+class://System/ApplicationException;(not implemented)
cs+class://SevenZip/InvalidParamException;cs+class://System/ApplicationException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/BZip2/BZip2Exception;cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Core/DirectoryEventArgs;cs+class://ICSharpCode/SharpZipLib/Core/ScanEventArgs;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Core/ExtendedPathFilter;cs+class://ICSharpCode/SharpZipLib/Core/PathFilter;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Core/NameAndSizeFilter;cs+class://ICSharpCode/SharpZipLib/Core/PathFilter;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Encryption/ZipAESStream;cs+class://System/Security/Cryptography/CryptoStream;(not implemented)
cs+class://ICSharpCode/SharpZipLib/GZip/GZipException;cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/GZip/GZipInputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/InflaterInputStream;(not implemented)
cs+class://ICSharpCode/SharpZipLib/GZip/GZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;(not implemented)
cs+class://ICSharpCode/SharpZipLib/LZW/LzwException;cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;cs+class://System/ApplicationException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Tar/InvalidHeaderException;cs+class://ICSharpCode/SharpZipLib/Tar/TarException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Tar/TarException;cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Zip/Compression/DeflaterPending;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/PendingBuffer;(not implemented)
