fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Int32 RunImpl(UnknownType);Int32 RunImpl(UnknownType);Run
cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Int32 HandleFatalException(Exception);Int32 HandleFatalException(Exception);Run
cs+class://Gallio/Icarus/Logging/RuntimeLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Icarus/Logging/RuntimeLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Icarus/Models/TestTreeNode;cs+class://Gallio/UI/Tree/Nodes/ThreeStateNode;Boolean ChildShouldBeChecked(ThreeStateNode, UnknownType);Boolean ChildShouldBeChecked(ThreeStateNode, UnknownType);UpdateChildNodeState
cs+class://Gallio/Icarus/IcarusProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Int32 RunImpl(UnknownType);Int32 RunImpl(UnknownType);Run
cs+class://Gallio/Icarus/Tests/Controls/TestKindIconTest/TestTestKindIcon;cs+class://Gallio/Icarus/Controls/TestKindIcon;Object GetValue(TreeNodeAdv);Object GetValue(TreeNodeAdv);GetIcon
cs+class://Gallio/Icarus/Tests/Controls/TestKindIconTest/TestTestKindIcon;cs+class://Gallio/Icarus/Controls/TestKindIcon;Image GetNodeTypeImage(String);Image GetNodeTypeImage(String);GetIcon
cs+class://Gallio/Common/Concurrency/TaskResult[1];cs+class://Gallio/Common/Concurrency/TaskResult;Object GetValueAsObject();Object GetValueAsObject();(field initializer)
cs+class://Gallio/Common/Concurrency/TaskResult[1];cs+class://Gallio/Common/Concurrency/TaskResult;Object GetValueAsObject();Object GetValueAsObject();ToString
cs+class://Gallio/Common/Concurrency/ProcessTask;cs+class://Gallio/Common/Concurrency/Task;Void StartImpl();Void StartImpl();Start
cs+class://Gallio/Common/Concurrency/ProcessTask;cs+class://Gallio/Common/Concurrency/Task;Void AbortImpl();Void AbortImpl();Abort
cs+class://Gallio/Common/Concurrency/ProcessTask;cs+class://Gallio/Common/Concurrency/Task;Boolean JoinImpl(Nullable);Boolean JoinImpl(Nullable);Join
cs+class://Gallio/Common/Concurrency/ThreadTask;cs+class://Gallio/Common/Concurrency/Task;Void StartImpl();Void StartImpl();Start
cs+class://Gallio/Common/Concurrency/ThreadTask;cs+class://Gallio/Common/Concurrency/Task;Void AbortImpl();Void AbortImpl();Abort
cs+class://Gallio/Common/Concurrency/ThreadTask;cs+class://Gallio/Common/Concurrency/Task;Boolean JoinImpl(Nullable);Boolean JoinImpl(Nullable);Join
cs+class://Gallio/Common/Media/BitmapVideoFrame;cs+class://Gallio/Common/Media/VideoFrame;Void CopyPixelsImpl(Rectangle, UnknownType, Int32, Int32);Void CopyPixelsImpl(Rectangle, UnknownType, Int32, Int32);CopyPixels
cs+class://Gallio/Common/Media/CaptionOverlay;cs+class://Gallio/Common/Media/Overlay;Void PaintImpl(OverlayPaintRequest);Void PaintImpl(OverlayPaintRequest);Paint
cs+class://Gallio/Common/Media/OverlayManager/CompositeOverlay;cs+class://Gallio/Common/Media/Overlay;Void PaintImpl(OverlayPaintRequest);Void PaintImpl(OverlayPaintRequest);Paint
cs+class://Gallio/Common/Media/FlashScreenVideo;cs+class://Gallio/Common/Media/Video;Void AddFrameImpl(VideoFrame);Void AddFrameImpl(VideoFrame);AddFrame
cs+class://Gallio/Common/Media/FlashScreenVideo;cs+class://Gallio/Common/Media/Video;Void SaveImpl(Stream);Void SaveImpl(Stream);Save
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void AttachImpl(Attachment);Void AttachImpl(Attachment);Attach
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamWriteImpl(String, String);Void StreamWriteImpl(String, String);StreamWrite
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamEmbedImpl(String, String);Void StreamEmbedImpl(String, String);StreamEmbed
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamBeginSectionImpl(String, String);Void StreamBeginSectionImpl(String, String);StreamBeginSection
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamBeginMarkerImpl(String, Marker);Void StreamBeginMarkerImpl(String, Marker);StreamBeginMarker
cs+class://Gallio/Common/Markup/FallbackMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamEndImpl(String);Void StreamEndImpl(String);StreamEnd
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void AttachImpl(Attachment);Void AttachImpl(Attachment);Attach
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamWriteImpl(String, String);Void StreamWriteImpl(String, String);StreamWrite
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamEmbedImpl(String, String);Void StreamEmbedImpl(String, String);StreamEmbed
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamBeginSectionImpl(String, String);Void StreamBeginSectionImpl(String, String);StreamBeginSection
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamBeginMarkerImpl(String, Marker);Void StreamBeginMarkerImpl(String, Marker);StreamBeginMarker
cs+class://Gallio/Common/Markup/NullMarkupDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamEndImpl(String);Void StreamEndImpl(String);StreamEnd
cs+class://Gallio/Common/Markup/StructuredDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void CloseImpl();Void CloseImpl();Close
cs+class://Gallio/Common/Markup/StructuredDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void FlushImpl();Void FlushImpl();Flush
cs+class://Gallio/Common/Markup/StructuredDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void AttachImpl(Attachment);Void AttachImpl(Attachment);Attach
cs+class://Gallio/Common/Markup/StructuredDocumentWriter;cs+class://Gallio/Common/Markup/MarkupDocumentWriter;Void StreamWriteImpl(String, String);Void StreamWriteImpl(String, String);StreamWrite
