direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Gallio/Icarus/Controllers/ApplicationController;cs+class://Gallio/Icarus/Controllers/NotifyController;PropertyChanged;cs+class://Gallio/Icarus/Tests/Controllers/ApplicationControllerTest/ProjectFileName_should_notify_when_set
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;Alignment;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;DrawMode;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;ItemSize;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;Multiline;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;SelectedIndex;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Controls/PropertiesTabControl;cs+class://System/Windows/Forms/TabControl;SizeMode;cs+class://Gallio/Icarus/ProjectProperties/View/InitializeComponent
False;MethodCall;cs+class://Gallio/Icarus/Models/SortedTreeModel;cs+class://Gallio/Icarus/Models/TreeModelDecorator;StructureChanged;cs+class://Gallio/Icarus/Tests/Models/SortedTreeModelTest/Tree_view_should_be_notified_if_sort_order_is_changed
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;TestStatus;cs+class://Gallio/Icarus/Controls/TestTreeView/SelectNode
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Controls/TestTreeView/SelectNode
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Controls/TestTreeView/SelectNode
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Controls/TestTreeView/SelectNode
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;IsChecked;cs+class://Gallio/Icarus/Models/TestTreeModel/NodeIsASelectedTest
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Text;cs+class://Gallio/Icarus/Tests/Models/TestTreeNodes/TestDataNodeTest/Text_should_be_name_from_test_data
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Models/TestTreeNodes/TestDataNodeTest/CheckState_should_be_unchecked_if_test_is_ignored
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Models/TestTreeNodes/TestDataNodeTest/CheckState_should_be_unchecked_if_test_is_pending
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Models/TestTreeNodes/TestDataNodeTest/CheckState_should_be_checked_otherwise
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/If_applied_filter_set_is_any_filter_then_the_root_should_be_checked
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/Filter_sets_should_be_applied_appropriately
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/Filter_sets_should_be_applied_appropriately
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/Filter_sets_should_be_applied_appropriately
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/Filter_sets_should_be_applied_appropriately
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;CheckState;cs+class://Gallio/Icarus/Tests/Services/FilterServiceTest/Filter_sets_should_be_applied_appropriately
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;AddTestStepRun;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;AddTestStepRun;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
False;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;Nodes;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
True;MethodCall;cs+class://Gallio/Icarus/Models/TestTreeNodes/TestDataNode;cs+class://Gallio/Icarus/Models/TestTreeNode;AddTestStepRun;cs+class://Gallio/Icarus/Tests/TestResults/TestResultsControllerTest/(field initializer)
True;MethodCall;cs+class://Gallio/Icarus/Controls/PluginTreeView;cs+class://Aga/Controls/Tree/TreeViewAdv;Model;cs+class://Gallio/Icarus/Views/PluginBrowser/PluginBrowser/(field initializer)
True;MethodCall;cs+class://Gallio/Icarus/Controls/PluginTreeView;cs+class://Aga/Controls/Tree/TreeViewAdv;SelectedNode;cs+class://Gallio/Icarus/Views/PluginBrowser/PluginBrowser/pluginBrowserTreeView_SelectionChanged
True;MethodCall;cs+class://Gallio/Icarus/Controls/PluginTreeView;cs+class://Aga/Controls/Tree/TreeViewAdv;SelectedNode;cs+class://Gallio/Icarus/Views/PluginBrowser/PluginBrowser/pluginBrowserTreeView_SelectionChanged
True;MethodCall;cs+class://Gallio/Icarus/Controls/PluginTreeView;cs+class://Aga/Controls/Tree/TreeViewAdv;SelectedNode;cs+class://Gallio/Icarus/Views/PluginBrowser/PluginBrowser/pluginBrowserTreeView_SelectionChanged
